Reg. No.,Project Name,Project Land Area (Sq Mtrs),Total Open Area (Sq Mtrs),Project Address,Project End Date,Type,Total Units,Total No. of Towers/Blocks,Promoter name,Promoter Type,Total no. Of Years Of Work Experience Of Group Entity In Gujarat,Total no. Of Completed Projects By Group Entity,Architect Name,Pool Avaliable,Disposal Of Sewage Water Avaliable,Lift Avaliable,Garden Avaliable,Security Avaliable,Drinking Water Avaliable,Water Conservation Avaliable,Water Supply Avaliable,Renewable Energy Avaliable,Community Hall Avaliable,Fire Safety Avaliable,Road Avaliable
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA01279/A1M/EX1/030424/270125,MAITRI LAKE VIEW,"8,923","4,313.95","MAITRI LAKE VIEW, KALPTARU MILLENNIUM PARK, , Gandhinagar, Gandhinagar, Gujarat, 382421",27/01/2025,Mixed Development,402,10,GAYATRI INFRASTRUCTURE LIMITED,COMPANY,22,22,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00673/EX1/071218,SHALIGRAM LAKEVIEW,"20,651","5,792","Shaligram Lakeview, Gandhinagar, Gandhinagar, Gujarat, 382421",31/12/2018,Mixed Development,523,11,SHRIMATE INFRASTRUCTURE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,20,25,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/ANAND/ANAND/Others/RAA11392/060323,TULSI ANANTA,"11,847.19","7,625.57","Bakrol survey no 233, Anand, Anand, Gujarat,",31/12/2028,Residential/Group Housing,48,1,TULSI INFRACON,PARTNERSHIP FIRM,40,2,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA12709/161123,RIVIERA PALACIO,"10,138","7,302.06","SKYCITY, NEAR CLUB 07,S.P.RING ROAD, Sanand, Ahmedabad, Gujarat,",31/12/2029,Residential/Group Housing,140,1,SAFAL GOYAL REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,40,103,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA10889/111122,RIVIERA MAJESTICA,"16,307","11,650.94","SKYCITY, NEAR CLUB 07,S.P.RING ROAD, Sanand, Ahmedabad, Gujarat,",31/12/2027,Residential/Group Housing,340,3,SAFAL GOYAL REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,40,103,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA09891/070322,RIVIERA ASPIRE,"3,36,911","7,811.24","SKYCITY, NEAR CLUB 07,S.P.RING ROAD, Sanand, Ahmedabad, Gujarat,",30/06/2027,Residential/Group Housing,240,2,SAFAL GOYAL REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,40,103,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA08927/210821,Maher Select,"13,659","7,713.57","Plot NO:3, N.D.Avenue, Sanand, Ahmedabad, Gujarat,",31/08/2025,Residential/Group Housing,616,11,Dushyant M. Pandya self and sole proprietor of M/s. Vishwanath Buildcon,Individual/Propritorship,20,4,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA06528/EX2/A1R/260523,THE OTHERSIDE,"4,73,586.64","27,611.04","B/h.Ayurnet Factory,Opp.Shilpgram 5,, Sanand, Ahmedabad, Gujarat,",30/09/2023,Residential/Group Housing,48,1,SHANTIKRUPA ESTATES PRIVATE LIMITED,COMPANY,14,2,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: No,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA04910/250219,RIVIERA WOODS,"3,36,911","8,493.45","SKY CITY, NEAR CLUB O7, S.P. RING ROAD, Sanand, Ahmedabad, Gujarat, 380058",30/06/2024,Residential/Group Housing,170,3,SAFAL GOYAL REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,40,103,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA04368/141218,RIVIERA ELITE,"3,36,911","8,879.83","SKY CITY , NEAR CLUB O7,S.P RING ROAD, Sanand, Ahmedabad, Gujarat, 380058",30/06/2023,Residential/Group Housing,204,3,SAFAL GOYAL REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,40,103,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00986/EX4/A1R/260523,THE OTHERSIDE,"4,73,586.64","3,70,071.6","Chekhla-Vasanjada, Sanand, Ahmedabad, Gujarat,",31/12/2023,Residential/Group Housing,411,1,SHANTIKRUPA ESTATES PRIVATE LIMITED,COMPANY,14,2,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00064/040917,FLORIS VILLA,"44,500","28,568","O7 Club Road, Off S. P. Ring Road,, Sanand, Ahmedabad, Gujarat, 380058",31/03/2019,Residential/Group Housing,192,1,SAFAL GOYAL REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,40,103,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/PAA00361/061017,KALHAAR BLUES & GREENS (KBG),"18,23,862","16,49,423","KALHAAR BLUES & GREENS, Sanand, Ahmedabad, Gujarat, 382170",27/03/2026,Plotted Development,266,7,NAVRATNA ORGANISERS & DEVELOPERS PRIVATE LIMITED,COMPANY,20,18,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA12621/101123,Kavisha The Portrait,"15,358","3,924.47","Kavisha Portrait, Nr. Club 07 , Sanand, Ahmedabad, Gujarat,",31/12/2027,Mixed Development,521,1,KAVISHA AER LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA11869/290523,Kavisha Aer,"7,166",772.02,"Kavisha Aer, Behind Kavisha Amara, Sanand, Ahmedabad, Gujarat,",31/05/2026,Mixed Development,429,1,KAVISHA AER LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA10293/A1M/140323,Vishwanath Sarathya West,"12,243","7,373.26","Plot No.15, N. D. Avenue, Opp. Vishwanath Sarathya, VIP Road,, Sanand, Ahmedabad, Gujarat,",31/12/2026,Mixed Development,700,5,Vishwanath Builders through Prop Hitesh R Vyas,Individual/Propritorship,34,3,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA09626/A1M/080422,The Canvas,"15,358","1,549.91","The Canvas, Near Sanskardham, Sanand, Ahmedabad, Gujarat,",31/12/2025,Mixed Development,508,4,KAVISHA ATRIA LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA09500/181221,Kavisha Atria,"7,001","3,820.69","Kavisha Atria, Beside Vishwanath Sarathya, Sanand, Ahmedabad, Gujarat,",31/12/2024,Mixed Development,387,3,KAVISHA ATRIA LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA09396/011221,ANSH AMANTA,"6,131","3,309.35","ANSH AMANTA, Sanand, Ahmedabad, Gujarat,",30/06/2026,Mixed Development,257,2,ANSH INFRACON,PARTNERSHIP FIRM,5,1,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA09251/291021,SHELADIA LUXURIA,"5,017","2,794.69","BESIDE SIDDHESHWAR BUNGALOWS, STANZA LANE,, Sanand, Ahmedabad, Gujarat,",31/03/2027,Mixed Development,237,2,SHELADIA BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA09148/111021,Turquoise Grandeure,"6,313","3,157.89","Turquoise Grandeure, Nr. Sanskardham, , Sanand, Ahmedabad, Gujarat,",30/06/2026,Mixed Development,188,1,RATNABHUMI DEVELOPERS LIMITED,COMPANY,33,21,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA08630/170621,ORCHID VALLEY,"16,181","10,337.74","Sub-Plot no. 1 of FINAL PLOT NO. 14 ,Block no. 14/p of Town planning scheme no. 3 (SHELA), Sanand, Ahmedabad, Gujarat,",31/12/2025,Mixed Development,663,3,SAFAL GOYAL REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,40,103,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA07874/050121,SHILP REVANTA,"15,359","8,007","SHILP REVANTA, NR CLUB O7, Sanand, Ahmedabad, Gujarat,",31/12/2024,Mixed Development,802,13,AYB BUILDCON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA01865/A1M/031219,Swati Chrysantha,"9,650","5,767.47","FP NO 72/2+(78/2+81/2)+87/2 SUR NO 340/B 347/B+350/B 357/A/B, Sanand, Ahmedabad, Gujarat, 380058",20/07/2021,Mixed Development,376,2,SWATI CONSTRUCTION,PARTNERSHIP FIRM,21,21,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/Ahmedabad Urban Development Authority/MAA13079/060324/311227,Sun Skyview,"4,377","2,643.53","Sun Skyview, Opposite Skycity, Club 07 Road, Sanand, Ahmedabad, GUJARAT, 380058",31/12/2027,Mixed Development,210,1,SUN DIVINE CORPORATION,PARTNERSHIP FIRM,,,,Pool: Yes,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AHMEDABAD URBAN DEVELOPMENT AUTHORITY/MAA12900/080224/300627,Sun Parkwest,"4,936","2,612.38","Sun Parkwest, Opp Orchid Valley, Shela,, Sanand, Ahmedabad, GUJARAT, 380058",30/06/2027,Mixed Development,288,1,SUN REALTY,PARTNERSHIP FIRM,32,52,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA11972/190623,THE BELLAGIO,"7,966","2,775.74","THE BELLAGIO, OPP JAY AMBE HOTEL , Daskroi, Ahmedabad, Gujarat,",31/03/2029,Residential/Group Housing,133,1,AUM SHREYA REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA11288/020323,SHELADIA DIVINE,"6,407","4,330.68","SHELADIA DIVINE ,F.P NO -78, NR. SUN ASPIRE, , Daskroi, Ahmedabad, Gujarat,",31/12/2026,Residential/Group Housing,246,4,SHELADIA INFRA,PARTNERSHIP FIRM,15,10,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA11288/020323,SHELADIA DIVINE,"6,407","4,330.68","SHELADIA DIVINE ,F.P NO -78, NR. SUN ASPIRE, , Daskroi, Ahmedabad, Gujarat,",31/12/2026,Residential/Group Housing,246,4,SHELADIA INFRA,PARTNERSHIP FIRM,15,10,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA10949/191122 ,IKEBANA,"9,379","4,181.18","Ikebana, Beside courtyard marriott, , Daskroi, Ahmedabad, Gujarat,",01/07/2027,Residential/Group Housing,119,1,NEMI LANDMARKS PRIVATE LIMITED,COMPANY,20,8,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01522/EX1/311218,Elysium (Phase-I),"5,751","4,468","Shantigram, Daskroi, Ahmedabad, Gujarat, 380060",30/06/2019,Residential/Group Housing,198,2,Adani Township and Real Estate Company Private Limited,COMPANY,8,11,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01519/030218,"MEADOWS PHASE-2 (TOWER - D,E&F)","23,109","17,447","Shantigram, Daskroi, Ahmedabad, Gujarat, 380060",30/06/2018,Residential/Group Housing,6,3,Adani Township and Real Estate Company Private Limited,COMPANY,8,11,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA01518/030218,MEADOWS PHASE-4 (TOWER -J&K),"14,301.18","10,636.59","Shantigram, Daskroi, Ahmedabad, Gujarat, 380060",30/06/2018,Residential/Group Housing,4,2,Adani Township and Real Estate Company Private Limited,COMPANY,8,11,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00577/021117,"MEADOWS PHASE-3 (TOWER - G,H&I)","21,701.31","16,629.37","Shantigram, Daskroi, Ahmedabad, Gujarat, 380060",31/12/2017,Residential/Group Housing,6,3,Adani Township and Real Estate Company Private Limited,COMPANY,8,11,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00427/131017,Swati Florence,"7,927.65","5,154.46","Swati Florence, Daskroi, Ahmedabad, Gujarat, 380058",30/09/2018,Residential/Group Housing,265,3,Swati Realty,PARTNERSHIP FIRM,20,18,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00340/EX1/200219,ISCON PLATINUM,"44,876","30,605","Bopal Cross Road, , Daskroi, Ahmedabad, Gujarat, 380058",31/12/2019,Residential/Group Housing,938,14,JP ISCON PRIVATE LIMITED,COMPANY,30,48,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA11474/160323,,0,0,", , , ,",,,280,3,RAMESHWAR INFRA CREATION LLP,LIMITED LIABILITY PARTNERSHIP FIRM,11,9,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA10524/A1M/290124/311225,SP NIRVANA,"8,984","4,685.3","SP NIRVANA , ZAVERI GREENS NR GHUMA 45 MT ROAD, Daskroi, Ahmedabad, Gujarat,",31/08/2025,Mixed Development,539,3,SHRI PARSHVA REALITY,PARTNERSHIP FIRM,5,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA10397/050722,ELENZA GREENWOOD,"6,981","4,280.62","F.P. NO. 14, OF T.P.S. NO. 3 (GHUMA), Daskroi, Ahmedabad, Gujarat,",30/12/2026,Mixed Development,355,5,ELENZA DEVELOPERS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,15,6,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA09817/150222,Saanvi Nirman Stellar,"8,984","4,756.27","F.P. No. 125, O.P. No. 125, Survey No. 666, T.P.S. No. 3 (Ghuma),, Daskroi, Ahmedabad, Gujarat,",31/12/2024,Mixed Development,380,2,SAANVI NIRMAN BUILDWELL LLP,LIMITED LIABILITY PARTNERSHIP FIRM,5,0,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA08016/060221,Kavisha Amara,"6,131",613,"Kavisha Amara, Daskroi, Ahmedabad, Gujarat,",14/12/2023,Mixed Development,370,3,Kavisha Infrastructure,PARTNERSHIP FIRM,3,1,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA06438/091219,Mahadev Elegance,"5,160","2,990.77","Mahadev Elegance, Opp.BLUE BELL OFFICE,45 mtr Karnavati Club Road, Daskroi, Ahmedabad, Gujarat,",30/06/2026,Mixed Development,196,3,MAHADEV LAND DEVELOPERS,PARTNERSHIP FIRM,3,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00218/210917,AARYAN GLORIA,"15,782","3,946","NEAR SHIVAM BUNGLOW 2, Daskroi, Ahmedabad, Gujarat, 380058",31/03/2019,Mixed Development,632,8,AARYAN INFRA-BUILD PRIVATE LIMITED,COMPANY,6,3,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00039/310817,SUN SKYPARK AND SUN CENTRALPLACE,"9,000","6,197","SUN SKYPARK , SARDAR PATEL RING ROAD, BOPAL CIRCLE, Daskroi, Ahmedabad, Gujarat, 380058",15/12/2020,Mixed Development,486,4,Sun Shilp Construction,PARTNERSHIP FIRM,32,45,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00004/A1M/121218,Marigold,"12,384","7,500","Near Safal Parisar 1, , Daskroi, Ahmedabad, Gujarat,",30/09/2019,Mixed Development,977,2,SAFAL GALA REALTIES,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Urban Development Authority/RAA12729/030124/300627,Indraprasth Ixora,"5,828","3,537.59","Indraprasth Ixora, B/h Club O7, Nr. Shanti Asiatic School, Daskroi, Ahmedabad, GUJARAT, 380058",30/06/2027,Residential/Group Housing,280,5,Deep Projects,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Urban Development Authority/MN96AA09996/270622,Sun Footprints,"11,431.14","6,837.66","B/H, Applewood Township, Sanathal, Sanand, Daskroi, Ahmedabad, GUJARAT, 382210",31/03/2026,Mixed Development,686,4,SUN REALTY,PARTNERSHIP FIRM,32,52,,Pool: Yes,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Urban Development Authority/MAA14610/301224/301228,ROYAL CROWN,"4,796","2,936.35","SURVEY NO - 22, T.P. NO - 61, F.P. NO - 88/4, 120 FT ROAD, OPP. PRIDE HERITAGE VILLA, KHODIYAR, AHMEDABAD, Daskroi, Ahmedabad, GUJARAT, 382421",30/12/2028,Mixed Development,297,3,UMIYA BUILDCON,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
