Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING
GGM/459/191/2021/27 DATED 22.06.2021,ELEVATE (PHASE II),HERITAGE MAX REALTECH PVT. LTD.,"VILLAGE BEHRAMPUR, SECTOR-59,
GURUGRAM",GURUGRAM,68.02,99.93,27.2,0,51.19,9.94,0,3.71,0,0,0,0,0,0,2.96875 (Acre),31-01-2025,0,TILES,FLOOR TILES AND PAINT,DOUBLE/ SINGLE GLASS,LED FIXTURES,HIGH RISE – 8 NOS. PASSENGER LIFT & 2 NOS. SERVICE/FIREMAN LIFT COMMERCIAL 1 NOS. PASSENGER LIFT,LED,PAINT SURFACE
GGM/767/499/2023/111 DATED 04.12.2023,GODREJ ARISTOCRAT,GODREJ PROPERTIES LTD,"SECTOR 49, GURUGRAM, HARYANA",GURUGRAM,338.78,956.98,129.80,4705.84,70.80,94.40,2128.72,0,3058.73,0,0,447.23,0,8142.00,9.56875 (Acre),Not available,Not available,VITRIFIED TILES,"FLOOR: VITRIFIED TILES WALL: CERAMIC TILES 2'-0"" ABOVE COUNTER & OIL BOUND DISTEMPER CEILING: OIL BOUND DISTEMPER",LAMINATE FINISH FLUSH DOORS/MOULDED SHUTTER WITH HARDWOOD FRAME)(PREHUNG- LVL WITH LAMINATE),AS PER BUILDING NORMS,3 IN EACH TOWER- 2 PASSENGER AND 1 SERVICE,AS PER BUILDING NORMS,"PROVIDING AND APPLYING 10 TO 12MM THICK PLASTER TO MASONRY AND RCC WALLS, COLUMNS ETC. IN CEMENT MORTAR 1:5"
GGM/543/275/2022/18 DATED 14.03.2022(SUPERSEDED BY GGM/692/424/2023/36 DATED 02.02.2023),THE NATION,JMS INFRA REALITY PRIVATE LIMITED,"SECTOR 95, WAZIRPUR",GURUGRAM,123.27,42.42,114.13,98.42,134.95,113.55,0,52.95,250,400,0,0,0,0,16.55625 (Acre),Not available,Not available,NOT APPLICABLE,NA,NA,NA,NA,NA,NA
GGM/511/243/2021/79 DATED 15.11.2021,WESTERLIES,EXPERION DEVELOPERS PVT. LTD.,SECTOR 108,GURUGRAM,567.64,51.23,127.15,0,40.56,61.51,0,39.07,0,0,0,0,0,0,16.03125 (Acre),Not available,Not available,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
GGM/590/322/2022/65 DATED 18.07.2022,ASHIANA AMARAH PHASE I & IA,ASHIANA HOUSING LIMITED,"VILL. WAZIRPUR , SEC 93 , GUR
UGRAM",GURUGRAM,190,50,43,70,67,14,59,12,0,0,6,0,0,0,5.041 (Acre),Not available,Not available,VITRIFIED TILES (600X600) OR (800X800).,TILES - SAND-CEMENT PLASTER AND A COAT OF POP WITH COATING OF EMULSION PAINT.,"2 TO 3 TRACK ALUMINIUM/UPVC FRAMED WINDOW, WITH 2 TO 3 SLIDING PANELS DEPENDING UPON SIZE WITH CLEAR FLOAT GLASS AND PROVISION FOR FLY MESH SHUTTER.",MODULAR ELECTRICAL SWITCHES WITH SOCKETS AND FAN REGULATORS OF SSK/ANCHOR/NORTH WEST/LEGRAND OR EQUIVALENT,NA,NA,"LIFT LOBBY IN BASEMENT, STILT/GROUND FLOOR AND UPPER FLOORS: GRANITE AND/OR MARBLE AND/OR QUARTZ STONE AND /VITRIFIED TILES AND/OR CERAMIC TILES AND/OR CEMENT SAND PLASTER AND/OR OTHER LOCAL STONE AND/OR COMBINATION OF ANY TWO OR MORE ITEMS WITH EMULSION PAINT FINISH (WHEREVER APPLICABLE)."
GGM/603/335/2022/78 DATED 17.08.2022,INDEPENDENT FLOORS AT DLF GARDENCITY ENCLAVE,DLF LIMITED,SECTOR 93,GURUGRAM,146,71,69,249,95,30,37,315,0,0,0,0,0,0,3.57 (Acre),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,WOODEN FRAMES FOR DOORS UPVC/AL/MS FRAMES FOR WINDOWS,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,WHITE WASH / OBD
GGM/672/404/2023/16 DATED 23.01.2023,CENTRAL PARK THE ORCHARD,ST PATRICKS REALTY PRIVATE LIMITED,"SITUATED IN SECTOR-32, TEHSIL
-SOHNA, GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.127 (Acre),Not available,Not available,LAMINATED WOODEN FLOORING / MARBLE,ANTI SKID /VITRIFIED TILES / MARBLE,FLUSH DOOR WITH VINEER / LAMINATED EQUIVALENT,MODULAR TYPE,SCHNEIDER,AS PER IS CODES,AS PER OUR SCHEME
GGM/802/534/2024/29 DATED 18.03.2024,M3M MANSION,UNION BUILDMART PRIVATE LIMITED,"VILLAGE CHAUMA,SECTOR 113,GUR
UGRAM",GURUGRAM,765.41,211.56,91.85,704.18,153.08,61.23,392.50,91.85,0.00,0.00,0.00,0.00,0.00,0.00,8.710 (Acre),Not available,Not available,VITRIFIED TILES/LAMINATEDWOODEN FLOOR/CERAMIC TILE,N.A.,EXTERNAL ALUMINIUM WITH GLASSINTERNAL – WOODEN,AS PER APPROVED MAKE,LIFTS AS PER BUILDING PLANS,AS PER APPROVED MAKE,PAINT/GLASS
GGM/386/118/2020/02 DATED 06.01.2020,SIGNATUREGLOBAL PROXIMA 2,SIGNATURE INFRABUILD PRIVATE LIMITED,"VILLAGE HAYATPUR, SECTOR 89 G
URUGRAM-MANESAR URBAN COMPLEX, HARYANA",GURUGRAM,107.17,136.98,66.41,0,164.78,14.52,0,13.57,0,0,0,0,0,161.14,4.73125 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/618/350/2022/93 DATED 04.10.2022,SIGNATURE GLOBAL CITY 37D II(2),ROSE BUILDING SOLUTIONS PRIVATE LIMITED,"VILLAGE-GADOLIKALAN, SECTOR-3
7/D, GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,OPEN KITCHEN,WOODEN / UPVC/ALUMINIUM,NA,OTIS/FUGITECH,NA,NA
GGM/829/561/2024/56 DATED 03.06.2024,ANANTAM,JAI GANGA REALTECH LLP,"VILLAGE BADHA, SECTOR-85",GURUGRAM,784.97,542.78,542.78,2130.31,559.23,224.28,1896.38,44.86,2354.51,0,60.42,0,0,0,5.29375 (Acre),Not available,Not available,"ITELIEN MARBEL/TILES, WOODEN FLOORING OR EQUIVALENT","ITELIEN MARBEL/TILES, PAINT OR EQUIVALENT, FALSE CEILING OR EQUIVALENT ,FLUSHDOOR WITH SUNMICA/VEENER OR EQUIVALENT",FLUSHDOOR WITH SUNMICA/VEENER -BHUTANI. KALPATRO OR EQUIVALANT,"MODULAR SWITCHES, BOXES, SOCKETS",ISI MARKED AS PER MARKET STANDARD,"MODULAR SWITCHES, BOXES, SOCKETS, MCB,DB ETC.","FALSE CEILING, WALLS-PLASTICEMUSION/ACRYLIC/PAINT FLOORING- ITALIAN/IMPORTED MARBLE"
GGM/340/72/2019/34 DATED 27.05.2019,SOBHA CITY PHASE IV,SOBHA LTD.,"SECTOR-108, GURUGRAM",GURUGRAM,105,120,49,0,67,23,0,4,0,0,0,0,0,0,2.6778 (Acre),Not available,Not available,LAMINATED WOODEN FLOORING AND SKIRTING / VITRIFIED TILE FLOORING AND SKIRTING /CERAMIC TILE.,"CERAMIC TILE FLOORING, WALL TILING & PLASTIC EMULSION PAINT FOR CEILING.",FRAME – TIMBER FRAME & SHUTTERS – WITH BOTH SIDE MASONITE SKIN.,FITTING OF REPUTED MAKE APPROVED BY ISI & IS SPECIFICATION.,CAPACITY - 2 NOS. OF 8 PASSENGER LIFT OF REPUTED MAKE IN ALL TOWERS.,FITTINGS OF REPUTED MAKE APPROVED BY ISI & IS SPECIFICATION,PLASTIC EMULSION PAINT FOR WALLS & CEILING.
01 OF 2017 DATED 14.06.2017 (SUPERSEDED BY GGM/688/420/2023/32 DATED 02.02.2023),MIXED LAND USE COLONY FOR 14.4125 ACRES,MANGLAM MULTIPLEX PVT LTD,"VILLAGE BADSHAPUR AND MAIDAWA
S, SECTOR-65, GURUGRAM",GURUGRAM,1288,2641,65,2735,44,0,2630,171,1541,0,108,0,0,2725,14.4125 (Acre),Not available,Not available,RCC SLAB/TILE,N.A.,POWDER COATED ALUMINIUM FRAME/WOODEN FRAME,PUBLIC AREAS & TOILETS TO BE PROVIDED WITH LED LIGHT FIXTURES.,SCHINDLER / THYSSENKRUPP / FUJITEC / KONE,PROVISION OF WIRE / CABLE UP TO DISTRIBUTION BOARD ISI /BIS APPROVED,"ANTISKID TILES/IPS ON FLOOR, PAINT/WHITE WASH FINISH ON WALL & CEILING IN PUBLIC AREAS"
GGM/393/125/2020/09 DATED 10.02.2020,GODREJ MERIDIEN PHASE III,GODREJ REAL VIEW DEVELOPERS PRIVATE LIMITED,SECTOR 106,GURUGRAM,162,1,84,100,84,93,167,49,0,0,19,141,0,0,14.793 (Acre),Not available,Not available,BEDROOMS: LAMINATED WOODEN FLOOR LIVING/ DINING: MARBLE,GLAZED CERAMIC TILES DADO/ACRYLIC EMULSION,ANODIZED/ POWDER COATED ALUMINUM/ UPVC,ONLY SWITCHES,2 LIFTS – 10 PAX 1 LIFT – 16 PAX (37 LANDING ) 2.5 M/S,ONLY SWITCH SOCKETS PROVIDED,NA
GGM/396/128/2020/12 DATED 27.05.2020,PALM HILLS PHASE 1,EMAAR MGF LAND LTD,SECTOR 77,GURUGRAM,277.75,305.46,97.36,93.89,50.46,3.00,221.00,18.07,0,0,6.05,0,0,0,7.41 (Acre),24-12-2019,100,VITRIFIED TILES / LAMINATED WOODEN FLOORING / CERAMIC TILE,NA,SEASONED HARDWOOD FRAME / UPVC,MODULAR SWITCHES,PROVIDED,NA,NA
GGM/280/2018/12 DATED 27.07.2018,"SOBHA CITY (PHASE-2, PART-1)",SOBHA LIMITED,"SECTOR-108, GURUGRAM",GURUGRAM,45.17,52.10,21.37,0,29,0,0,1.53,0,0,0,0,0,0,0.7906 (Acre),31-03-2021,14,NATURAL / ENGINEERED STONE FLOORING AND SKIRTING/ LAMINATED WOODEN FLOORING AND SKIRTING / VITRIFIED TILE FLOORING AND SKIRTING /CERAMIC TILE.,"CERAMIC TILE FLOORING, WALL TILING & PLASTIC EMULSION PAINT FOR CEILING.",FRAME – TIMBER FRAME & SHUTTERS – WITH BOTH SIDE MASONITE SKIN.,FITTING OF REPUTED MAKE APPROVED BY ISI & IS SPECIFICATION.,CAPACITY - 1 NO. OF 15 PASSENGER & 2 NOS. OF 8 PASSENGER LIFT OF REPUTED MAKE.,NA,PLASTIC EMULSION PAINT FOR WALLS & CEILING.
GGM/331/63/2019/25 DATED 13.05.2019,PYRAMID HEIGHTS,PYRAMID INFRATECH PVT. LTD.,"SECTOR-85, GURUGRAM",GURUGRAM,31.26,74.49,17.60,11.07,56.51,6.95,11.04,5.57,0,0,11.03,0,0,0,5.025 (Acre),Not available,Not available,I PS FLOORING,STONE COUNTER WITH TILE,EXTERNAL D/W M S- Z SECTION,AS PER STANDARD,AS PER STANDARD,AS PER STANDARD,NA
GGM/418/150/2020/34 DATED 06.10.2020,WOODVIEW RESIDENCIES,ORRIS INFRASTRUCTURE PRIVATE LIMITED,"SECTOR 89-90, GURUGRAM",GURUGRAM,683.8687,154.4318,229.4368,0,78.034,115.2982,741.5613,57.5182,2100,0,175.6329,930,430,0,114.506 (Acre),15-07-2023,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GGM/411/143/2020/27 DATED 22.06.2020,ARADHYA HOMES,4S DEVELOPERS PVT. LTD.,"SECTOR 67-A, GURUGRAM, HARYAN
A",GURUGRAM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10464 (Sqr/mtrs),Not available,Not available,ITALIAN FLOOR IN DRAWING DINING ROOM AND ALL BEDROOM VERIFIED TILES AND SAME IN BATHROOM,MODULAR KITCHEN,UPVC WINDOW,PLAZA FITTINGS,NA,PLAZA WIRING,POP & PAINT FINISH
GGM/482/214/2021/50 DATED 07.09.2021,ASHIANA ANMOL PHASE II,ASHIANA HOUSING LIMITED,"VILL. DHUNELA, SECTOR - 33, T
ESHIL SOHNA",GURUGRAM,97.97,54.37,8.80,162.69,8.98,8.13,92.21,6.07,0,0,7.88,0,0,0,2.40928 (Acre),30-04-2026,0,LIVING/ DINING / LOBBY : DOUBLE CHARGED VITRIFIED TILES BEDROOM: DOUBLE CHARGED VITRIFIED TILES KITCHEN: DOUBLE CHARGED VITRIFIED TILES BATHROOM & BALCONY : CERAMIC TILES,"DOUBLE CHARGED VITRIFIED TILES, 600MM HIGH CERAMIC TILES DADO ABOVE PLATFROM AND PLASTIC PLASTIC EMULSION OF PLEASING SHADE. KITCHEN PLATFORM IN QUALITY QUARTZ/GRANITE STONE WITH STAINLESS STEEL SINK WITH STAINLESS, SHINK DRAIN AND PROVISION FOR HOT AND COLD WATER SUPPLY.",FOLDED STEEL SECTION,"CONVENIENT PROVISION AND DISTRIBUTION OF LIGHTS AND POWER PLUGS ; PROVISION FOR ELECTRICAL CHIMNEY ABOVE PLATFORM, GAS PIPELINE AND WATER PURIFIER PPOINT IN KITCHEN.",TWO GEARLESS HIGH SPEED AUTOMATIC LIFTS IN EACH BLOCK WITH DG BACKUP.,NA,NA
GGM/494/226/2021/62 DATED 11.10.2021,SIGNATURE GLOBAL PARK-1(1),SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE DHUNELA, SECTOR 36",GURUGRAM,85.68,90.00,42.74,0,55.49,11.51,0,0,0,0,0,0,0,72.05,3.91 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/538/270/2022/13 DATED 21.02.2022,THE GROVE,DLF LIMITED,"DLF 5, SECTOR 54",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3073 (Acre),Not available,Not available,TILE/STONE/MARBLE/GRANITE,N/A,MODULAR / UPVC/ AL,MODULAR FITTINGS AND MODULAR TOUCH SWITCHES IN SELECT AREAS. HOME AUTOMATION WITH CONTROL DEVICE IN SELECT AREAS,BRANDED MAKE,MODULAR FITTINGS AND MODULAR TOUCH PANELS IN SELECT AREAS,N/A
GGM/572/304/2022/47 DATED 06.06.2022,SIGNATURE GLOBAL PARK IV(2),SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE HARIYAHARA, SECTOR 36
, SOHNA, DISTT. GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.938 (Acre),Not available,Not available,VITRIFIED / CERAMIC TILES,GRANITE COUNTER,"WOODEN (DOOR FRAME), MS / ALUMINIUM N/ UPVC (WINDOW FRAME)",ISI MARKED,OTIS,ISI MARKED,OBD
GGM/675/407/2023/19 DATED 30.01.2023,CHINTAMANIS,AVIANA GREENS ESTATES PVT LTD,"SECTOR 103,VILL DAULTABAD, GU
RUGRAM",GURUGRAM,108.33,343.18,42.00,300.00,335.00,39.07,30.00,16.20,0,0,0,0,0,0,4.1875 (Acre),Not available,Not available,VITRIFIED TILES,ISI MARKED,HARD WOOD FRAMES/FLUSH DOORS,ISI MARKED,AS PER STANDERDS,ISI MARKED,PAINT
GGM/681/413/2023/25 DATED 30.01.2023,SIGNATURE GLOBAL CITY 93,SIGNATURE BUILDERS PRIVATE LIMITED,"VILLAGE WAZIRPUR, SECTOR 93,
GURUGRAM, HARYANA",GURUGRAM,412.97,231.5,125.2,0,147.05,39.85,0,0,0,0,0,0,0,0,17.31875 (Acre),Not available,Not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GGM/752/484/2023/96 DATED 23.10.2023,NANDAKA,GANGA GLOBAL HOMES PRIVATE LIMITED,"VILLAGE SIHI, SECTOR-84,",GURUGRAM,628.50,434.59,434.59,1705.69,803.60,179.57,1518.39,35.91,0,0,48.38,0,0,0,5.8406 (Acre),Not available,Not available,"BEDROOM-WOODEN FLOORING, LIVING DINING AND KITCHEN -ITALIAN/ IMPORTED MARBLE,",WALL / FLOORING- ITALIAN /IMPORTED MARBLE COUNTER-GRANITE,WOODEN/WPC/ALLUMINIUM/UPVC,"MODULAR SWITCHES, BOXES, SOCKETS",ISI MARKED AS PER MARKET STANDARD,"MODULAR SWITCHES, BOXES, SOCKETS","FALSE CEILING, WALLS-PLASTIC EMUSION/ACRYLIC/PAINT FLOORING- ITALIAN/ IMPORTED MARBLE"
GGM/863/595/2024/90 DATED 02.09.2024,TREVOC ROYAL RESIDENCES,JHS ESTATE PRIVATE LIMITED,"SECTOR 56, URBAN ESTATE, GURG
AON II, HARYANA",GURUGRAM,566.34,39.06,31.25,1041.31,0,15,386.16,286.62,0,0,31.5,0,0,65.72,2.059 (Acre),Not available,Not available,ITALIAN/ IMPORTED MARBLE/ VITRIFIED TILE/LAMINATE WOODEN FLOORING/ ANTISKIDVITRIFIED,WALLS: PLASTER + DADO ABOVE COUNTERUP TO 2FT HIGH IN VITRIFIED TILE,HARDWOOD DOOR FRAME WITH FLUSHDOOR/LAMINATE OR SKIN DOOR PANELS,MODULAR SWITCHES AND SOCKETS,NA,PROVISION ONLY,"PUTTY WITH COMBINATION OF OBD AND ACRYLIC EMULSION, PLASTER NOT REQUIRED FOR RCC SURFACES"
GGM/666/398/2023/10 DATED 13.01.2023,SIGNATURE GLOBAL CITY 92-(II),SIGNATURE INFRABUILD PVT. LTD.,"VILLAGE MEVKA, WAZIRPUR, SECT
OR-92, GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4940 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,OPEN KITCHEN,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
GGM/820/552/2024/47 DATED 29.04.2024,BPTP THE AMAARIO,COUNTRYWIDE PROMOTERS PRIVATE LIMITED,37 D GURUGRAM,GURUGRAM,72.00,60.00,135.00,220.00,135.00,4.83,55.00,370.00,0,0,40.00,0,0,0,4.76 (Acre),Not available,Not available,"ENGGINERED WOODDEN, PERGO/LOTUS KALEEN/ACTION",GREENPLY/SOHA/SPACEWOOD/GREENLAM/ARCHIDPLY/MERINO/CENTURY/KITPLY/KUTTY/ANCHO/EURO OR EQUIVALENT MAKE,GLAZED WINDOWS WITH UPVC/AL/MS FRAMES ALUPLAST/DECUNIK/ENCRAFT/ASAHI/KOMMERLING/SHEDA/LG/SCHUCO/ALUK/ALUMIL/REYNAERS/MAHAVIR/HINDALCO/JINDAL/BHORUKA/EQUIVALENT,"SWITCH CONTROL FOR LIGHT, FAN GEYSER AND AC ETC. HOME AUTOMATION IN SELECT AREAS AS PER DESIGN",IP CAMERAS IN SELECTED AREAS OTIS/MITSUBISHI/KONE/THYSSENKRUPP OR EQUIVALENT,"SP MCB(6-20AMP) 10KA, 4P MCB(32-63AMP)16KA, LEGRAND/HAGER/ABB/SCHNEDIER/SIEMENS/HAVELLS/L&T OR EQUIVALENT MAKE","ACRYLIC EMULSION / OBD, ASIAN/BERGER/AKZONOBEL/JOTUN/KENAI NEROLAC OR EQUIVALENT MAKE"
GGM/502/234/2021/70 DATED 25.10.2021,SMARTWORLD GEMS,ADHIKAANSH REALTORS PRIVATE LIMITED,"SECTOR-89, GURUGRAM MANESAR U
RBAN COMPLEX, GURUGRAM, HARYANA.",GURUGRAM,2420,294,459,352,628,201,16,238,0,0,0,0,0,0,14.21 (Acre),Not available,Not available,VITRIFIED TILE / LAMINATED WOODEN FLOORING / CERAMIC TILE,GRANITE COUNTER WITH SS SINK,HARDWOOD DOOR FRAME WITH LAMINATED FLUSH/WOODEN DOOR,AS PER APPROVED MAKE,4 TO 6 PASSENGER LIFTS AS PER NORMS,AS PER APPROVED MAKE,NA
GGM/361/93/2019/55 DATED 01.10.2019,SAAN VERDANTE,SAAN PROCON PVT. LTD.,SECTOR-95,GURUGRAM,111.63,135.55,43.97,0,32.96,23.95,16.67,2.95,96,0,0,0,0,28.7,3.77 (Acre),30-11-2022,25,CERAMIC/VITRIFIED/NANO VITRIFIED TILES - RS. 50 - 60/SQ.FT.,CERAMIC TILES. NO WOOD WORK OR ELECTRICAL ACCESSORIES. ONLY COUNTER WITH STONE. RS. 50 - 60/SQ.FT.,SKIN/LAMINATED INTERNAL DOORS WITH MATCHING DOOR FRAMES RS. 325/ SQ.FT.,ONLY ONE TUBE IN EACH BEDROOM AND ONE CFL/LED IN EACH BATHROOM RS. 50/ PC,SCHINDLER/KONE/OTIS/THYSSENKRUPP RS. 26 LAC/ EACH,ONLY ONE TUBE IN EACH BEDROOM AND ONE CFL/LED IN EACH BATHROOM RS. 50/PC,-
GGM/408/140/2020/24 DATED 10.09.2020,PALM DRIVE & PALM TERRACE SELECT,EMAAR MGF LAND LTD,SECTOR 66,GURUGRAM,323.19,120.85,546.27,186.80,145.67,16.62,96.09,139.63,0,0,9.43,0,0,0,17.429 (Acre),08-08-2022,100,IMPORTED MARBLE/ VITRIFIED TILES / LAMINATED WOODEN FLOORING / CERAMIC TILE,NA,SEASONED HARDWOOD FRAME / UPVC,PVC CONDUITS AND WIRING,PROVIDED,NA,NA
GGM/491/223/2021/59 DATED 21.09.2021,"INDEPENDENT FLOORS AT DLF ALAMEDA, SEC 73",DLF HOME DEVELOPERS LIMITED,SECTOR 73,GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78 (Acre),Not available,Not available,IPS FLOORING / TILES / MARBLE / GRANITE,WHITE WASH / OBD,MS OR AL,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTINGS,ACRYLIC EMULSION PAINT /OBD
GGM/550/282/2022/25 DATED 11.04.2022,DLF GARDENCITY ENCLAVE,M/S. DLF LIMITED,SECTOR 93,GURUGRAM,504,246,239,863,250,103,130,1090,0,0,0,0,0,983,26.91875 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
GGM/787/519/2024/14 DATED 19.02.2024,PURI DIPLOMATIC RESIDENCES,PURI CONSTRUCTION PVT. LTD.,SECTOR 111,GURUGRAM,2746.66,678.06,450.99,3135.59,267.12,199.65,3911.17,928.19,6953.10,0,103.70,942.39,0,0,5.4112 (Acre),Not available,Not available,TILES / MARBLES (TILE MAKE - KAJARIA / SOMANY / JOHNSON OR EQUIVALENT).,"TILE FLOORING, STONE COUNTER, WALL TILE ABOVE COUNTER UPTO 2 FEET, OBD / ACRYLIC EMULSION ON WALL ABOVE THAT (TILE MAKE - KAJARIA / SOMANY / JOHNSON OR EQUIVALENT PAINT MAKE - ASIAN / ICI DULUX / BERGER OR EQUIVALENT).",FOR WINDOWS - ALUMINIUM / UPVC FRAME; HARDWOOD FRAMES FOR DOORS.,ISI MARKED STANDARD ELECTRIC FITTING.,SS FINISH CABIN / DOORS AS PER APPROVED DESIGN / DRAWINGS.,ISI MARKED STANDARD ELECTRICAL FITTING.,AS PER APPROVED DESIGN / DRAWINGS.
GGM/364/96/2019/58 DATED 24.09.2019,MANOR ONE,KASHISH DEVELOPERS LIMITED,"SEC-111, DWARKA EXPRESSWAY,GU
RUGRAM-122017",GURUGRAM,254,391,84,30,38,20,275,22.5,20,8,66.82,125,28,250,14.843 (Acre),31-07-2020,0,ITALIAN MARBLE/ENGINEERED WOOD,"DESIGNER MODULAR KITCHEN, FULLY FITTED WITH PREMIUM BRAD HOB,CHIMNEY, GRANITE CORNER TOP,STAINLESS STEEL SINK IMPORTED CP FITTINGS. ENCLOSURE EXHAUT FAN VENTED TO EXTERIOR. WATER PURIFIER/RO & GEYSER","ALL DOORS 8 FT HIGH, FLUSH SHUTTERS WITH POLISHED WOOD VENEER AND SOLID WOOD DOOR FRAME","PREMIUM MODULAR SWITCHES AND SOCKETS,",NA,"PREMIUM MODULAR SWITCHES AND SOCKETS,",POP PUNNING WITH EMULSION PAINT
12 OF 2017 DATED 03.07.2017,ANDOUR HEIGHTS,SARVPRIYA SECURITIES PVT.LTD.,"SECTOR-71, GURURGAM",GURUGRAM,52.17,139.24,47.49,0,114.18,8.29,0,7.56,0,0,0,0,0,0,6.00 (Acre),14-03-2020,100,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), UPVC(WINDOW FRAME)",ISI MARKED,NA,ISI MARKED,NA
170 OF 2017 DATED 29.08.2017,GROUP HOUSING COLONY,ADANI M2K PROJECTS LLP,"KHEDKI MAZRA, SECTOR 102/102A
, GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5148 (Sqr/mtrs),Not available,Not available,IMPORTED MARBLE/ LAMINATED FLOORING/ VITRIFIED TILES/ CERAMIC TILE,MODULAR KITCHEN,UPVC WINDOWS,NA,6 PASSENGERS LIFT,NA,NA
141 OF 2017 DATED 28.08.2017,PARSVNATH CITY CENTER SONEPAT,PARSVNATH DEVELOPERS LTD.,"NEW PWD GUEST HOUSE, RAILWAY
ROAD, SONEPAT, HARYANA",SONIPAT,70,40,40,450,62,0,0,13,0,0,0,0,0,0,4.03 (Acre),31-07-2020,0,"COMMON AREA – VDF/KOTA, POLISHED GRANITE/VITRIFIED TILES OR EQUIVALENT, MARBLE/ CERAMIC TILE SHOPS - MARBLE/ CERAMIC TILE. TOILETS - COMBINATION OF STONE/GRANITE/VITRIFIED/CERAMIC TILES",NA,COMMON AREA – WOODEN/METAL/FIRE DOOR SHOPS - FRAMELESS GLASS DOORS TOILETS – WOODEN DOORS/COMPACT LAMINATE,ALL ISI MARK FITTINGS WILL USE,6 LIFTS & 10 ESCALATORS,ALL ISI MARK FITTINGS WILL USE,NA
GGM/290/2018/22 DATED 23.10.2018,ASHIANA MULBERRY,ASHIANA DWELLINGS PVT LTD,"SECTOR-2, SOHNA, GURUGRAM",GURUGRAM,20,20,20,40,20,0,5,20,300,30,0,0,0,101,2.81 (Acre),30-06-2023,7,AS PER ATTACHED SPECIFICATION & FEATURES,AS PER ATTACHED SPECIFICATION & FEATURES,AS PER ATTACHED SPECIFICATION & FEATURES,AS PER ATTACHED SPECIFICATION & FEATURES,AS PER ATTACHED SPECIFICATION & FEATURES,AS PER ATTACHED SPECIFICATION & FEATURES,AS PER ATTACHED SPECIFICATION & FEATURES
