Project Name,Registration No.,Promoter Name,Project Address,Date of Registration
SONA APPARTMENT,BRERAP00377-1/759/R-703/2019,NANDANI HOMES PRIVATE LIMITED,"PLOT NO-1515,SH-01,NEAR ST.NIRANKARNI BHAWAN,ELAHIBAG,PATNA, Block- Patna Sadar Mauja - पहाडी District - PatnaPlot No -1515",07 Aug 2019
SONA ENCLAVE,BRERAP23554-2/1124/R-1043/2020,JAI MATA DI GREEN HOMES PRIVATE LIMITED,,17 Sep 2020
SONA SANAT APPARTMENT,BRERAP01041-1/725/R-592/2019,NAMETA KUMARI,"BEHIND LAXHMI MARKET, SHIV MANDIR ROAD, JAKKANPUR, Block- Patna Sadar Mauja - जक्‍कनपुर District - PatnaPlot No -17/19",15 Apr 2019
SONA TOWNSHIP,BRERAP23554-1/902/R-808/2019,JAI MATA DI GREEN HOMES PRIVATE LIMITED,,31 Oct 2019
Sondho's Nandan Residency,BRERAP00540-2/713/R-417/2019,Waman Ina Enterprises Private Limited,"Khata no. 69, 458, at Rasulpur Zilani Damuchak, Block- Musahari Mauja - रसूलपुर जिलानी District - MuzaffarpurPlot No -144, 145",13 Sep 2021
SOUTH CITY CENTRE,BRERAP00021-1/522/R-447/2019,Shivam Heights and Infra,"Plot no. 297, Nohsa More, Block- Phulwari Sarif Mauja - नोहसा District - PatnaPlot No -297",19 Oct 2022
SPRING FIELDS,BRERAP00864-1/717/R-608/2019,TRICOLOUR PROPERTIES PRIVATE LIMITED,,09 May 2019
SRI GANESH VIHAR,BRERAP00580-1/827/R-634/2019,VISHWAKARMA SAI CONSTRUCTION PRIVATE LIMITED,"KHATA NUMBER 158, PLOT NUMBER -475, WARD NUMBER -29, POLICE STATION - MAGADH MEDICAL, MOHHALLA - KALER, VEER KUNWAR SINGH COLONY, GAYA , Block- Sadar Gaya Mauja - कलेर District - GayaPlot No -PLOT NUMBER 475",21 May 2019
Sri Kanti Sagar,BRERAP63127-1/1314/R-1090/2021,Ganga and Sons Construction Pvt. Ltd.,"Anchal- Sampatchak, Mauza- Pipra,Survey Thana- Phulwari, P.S.- Gaurichak, Thana No.- 105, Tauzi No.- 182, Khata No.- 09., Block- Sampatchak Mauja - पीपरा District - PatnaPlot No -07",06 Jan 2021
SRI KRISHNA PALACE,BRERAP00079-3/65/R-1218/2021,DEEPSHREE PROPERTIES PRIVATE LIMITED,"ADARSH COLONY, IN FRONT OF GAS GODOWN, RANJAN PATH, BAILEY ROAD, DANAPUR, PATNA , Block- Phulwari Sarif Mauja - फुलवारी District - PatnaPlot No -02",27 Sep 2021
SRI KRISHNA VATIKA,BRERAP00439-1/309/R-403/2019,NANDAN DEO DREAM HOMES PVT LTD,"PAKARI, MAULABAGH, ARA NAWADA, Block- Ara Mauja - पकड़ी District - BhojpurPlot No -215",07 Feb 2019
SRI PRAKASH ENCLAVE,BRERAP000145-1/1078/R-980/2020,SAI DOMA BUILDCON PRIVATE LIMITED,"BHOGIPUR, GOPALPUR, Block- Sampatchak Mauja - भोगीपुर District - PatnaPlot No -228P",08 May 2020
SRI RAM ENCLAVE,BRERAP00026-7/973/R-717/2019,SRI MATESHWARI CONSTRUCTIONS,"Sri Ram Enclave, 70 feet road, Pakri, Patna, Bihar, Pin code-800002, Block- Phulwari Sarif Mauja - पकडी District - PatnaPlot No -390,391",13 Aug 2019
Sri Ram Enclave,BRERAP00573-1/422/R-285/2018,BHAWANI INFRACON PVT.LTD,"Mathiyapur,Post jamsaut, Shaspur, Danapur , Block- Danapur Mauja - जमसौत District - PatnaPlot No -399,400,401,402",10 Dec 2018
SRI RAM GOVIND ENCLAVE,BRERAP00573-3/1227/R-1018/2020,BHAWANI INFRACON PVT.LTD,"Proposed Residential Building at Plot no. 943, Khata no. 735, Mauja Karorichak,Phulwari, Patna                                                             , Block- Phulwari Sarif Mauja - फुलवारी District - PatnaPlot No -943",18 Aug 2020
SRI RAM HABITAT,107/2023/05,HABITAT INFRATECH PRIVATE LIMITED,,
SRI RAM PARAM SUSHILA APARTMENT,BRERAP41836-1/112/R-1197/2021,DEV HANUMANTE ENGICON,"MAUZA-HADASPURA DANAPUR THANA NO-38 PLOT NO-663,664 PATNA, Block- Danapur Mauja - हदसपुरा District - PatnaPlot No -663 664",08 Sep 2021
SRI RAM VALLEY,BRERAP00555-1/477/R-481/2019,SRI RAM CONSTRUCTIONS,"NH-80, Sabur Road, of Shankar Motors, Bhagalpur., Block- Sabour Mauja - फतेहपुर District - BhagalpurPlot No -643,644,648",01 Mar 2019
SRI RAM VILLA,BRERAP34017-4/194/R-1495/2022,PRANGAN DEVELOPERS PRIVATE LIMITED,"KHARANTI NEAR DAV CANT, Block- Bodh Gaya Mauja - खरांटी District - GayaPlot No -1239",01 Dec 2022
Sri Sai Laxmi Grih Enclave,BRERAP00820-1/604/R-452/2019,Tanya Constructions & Plantations Pvt. Ltd.,"On the land of Sr Chaitu Singh & other at Mauza- Mainpura,Thana, Patliputra, Thana no.2, Tauzi-5123, Khata-256, Plot no. 1785(P), own & Dist. Patna, Block- Patna Sadar Mauja - मैनपुरा District - PatnaPlot No -1785(P)",20 Feb 2019
SRI SAI RESIDENCY,BRERAP93448-1/154/R-1461/2022,SRI SAI DEVELOPER,"NEAR GANGA CITY, RAMJAYPAL NAGAR, DANAPUR, PATNA , Block- Danapur Mauja - जलालपुर District - PatnaPlot No -258P",08 Sep 2022
SRS Gharana,BRERAP00167-1/118/R-70/2018,Gharana Associate InfraPromoters Pvt. Ltd.,"Baijubigha, Domuhan, Bodhgaya, Gaya, Block- Bodh Gaya Mauja - बोध गया District - GayaPlot No -Khata-101, Plot- 743",06 Jul 2018
SS KUSUM ENCLAVE,BRERAP94621-004/74/R-1714/2024,SS BASE CONSTRUCTION PRIVATE LIMITED,,30 Dec 1899
STAR GALAXY,BRERAP00260-4/1137/R-1041/2020,Sai Shree Balajee Homes Pvt. Ltd.,"MAUZA-SIMLIMURARPUR,N.H.31 BYPASS ROAD,SOUTH SIDE THANA-MALSALAMI,PATNA CITY,PATNA THANA NO-38,KHATA NO-240,KHESRA NO-1574,1575P, Block- Patna Sadar Mauja - सिमलीमुरारपुर District - PatnaPlot No -1574,1575P",17 Sep 2020
STAR GALAXY-1,BRERAP00260-5/1249/R-1051/2020,Sai Shree Balajee Homes Pvt. Ltd.,"MAUZA-SIMLIMURARPUR, SOUTH OF N.H, TOLL PLAZA OPPOSITE B.V.N SCOOL, Block- Patna Sadar Mauja - सिमलीमुरारपुर District - PatnaPlot No -1579, 1580, 1574 P",29 Oct 2020
Star Galaxy-I Phase-II,BRERAP00260-8/169/R-1499/2022,Sai Shree Balajee Homes Pvt. Ltd.,"MAUZA- SIMLIMURARPUR, SOUTH OF N.H, TOLL PLAZA, OPPOSITE B.V.N SCHOOL, Block- Patna Sadar Mauja - सिमलीमुरारपुर District - PatnaPlot No -1581, 1594, 1595 P",26 Apr 2023
SU-SAVITA APARTMENT,BRERAP30708-1/1000/R-822/2019,MAA KUNDESHWARI CONSTRUCTION PRIVATE LIMITED,"BUDHANATH ROAD, JOGSAR, Block- Jagdishpur Sadar Mauja - जोगसर(वार्ड न.6) District - BhagalpurPlot No -330 KA, KHA, GA, GHA",11 Nov 2019
SUBH LAXMI COMPLEX,BRERAP31139-2/1080/R-1220/2021,SUBHAGAMI REALESTATE PVT LTD,"MUZA MAINPUR SHANKAR,DANAPUR THANA NO-100,221,PLOT NO-741,742 DANAPUR, Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -741,742",05 Oct 2021
SUBHAM BLOCK,BRERAP00270-12/1338/R-1153/2021,SIMANCHAL INFRATECH PRIVATE LIMITED,"ADIBASHI TOLA , P.S. K.HAT , MAUJA - MADHUBANI , WARD NO. 18  , PURNIA , BIHAR , HOLDNG NO. 276, Block- Purnia East Mauja - मधुबनी District - PurneaPlot No -351,352,353",22 Jun 2021
SUBHANGI CITY,BRERAP00973-1/721/R-537/2019,SAMRAT ALLOYS SUPPLIERS PRIVATE LIMITED,,27 Mar 2019
SUCHITA ENCLAVE,BRERAP12345-002/165/R-1631/2024,DISHA ABHYUDAYA BUILDERS PRIVATE LIMITED,,05 Jan 2024
SUDEVI KUTIR,BRERAP00306-5/142/R-1273/2022,Kutir Housing Developers & Consultants Pvt. Ltd.,"MAHAVIR NAGAR, BEUR, Block- Patna Sadar Mauja - चितकोहरा District - PatnaPlot No -587, 588P",23 Feb 2022
SUDHA HOME TOWN,BRERAP00212-1/180/R-191/2018,Geetanjali Real Tech Private Limited,"NEAR PARSA JUNCTION WATER PARK ROAD PEEPRA , Block- Phulwari Sarif Mauja - छतनॉ District - PatnaPlot No -281,236",27 Sep 2018
Sudha Plaza,BRERAP00410-1/293/R-503/2019,ADITYA INFRACOMP PRIVATE LIMITED,"Near MIT Muzaffarpur., Block- Musahari Mauja - ब्रह्मपूरा District - MuzaffarpurPlot No -90,93,94",12 Mar 2019
SUHASHINI NIKETAN,BRERAP00243-16/1207/R-1026/2020,APNA AWAS CONSTRUCTION PVT.LTD.,"Mohalla - Mahodaypuri, Gardanibagh, Patna, Block- Patna Sadar Mauja - ढ़कनपुरा District - PatnaPlot No -132",26 Aug 2020
SUJATA KUTIR,BRERAP00306-2/304/R-915/2020,Kutir Housing Developers & Consultants Pvt. Ltd.,"GOLA ROAD DANAPUR, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -1165",03 Mar 2020
SUKUWARI ENCLAVE,BRERAP52326-004/158/R-1696/2024,Kosut Construction OPC Pvt. Ltd,,22 May 2024
SUMANGAL GALAXY,BRERAP33236-2/208/R-1501/2022,VIBHASH BUILDTECH INDIA PRIVATE LIMITED,"BHOGIPUR, PATNA , Block- Sampatchak Mauja - भोगीपुर District - PatnaPlot No -92, 116",15 Dec 2022
SUMINTRA RESIDENCY,BRERAP12437-001/140/R-1651/2024,RAJKUNWAR CONSTRUCTION PRIVATE LIMITED,,28 Feb 2024
Sumitra Complex,BRERAP00489-1/535/R-569/2019,Amar Construction Company,"Khata No.:1046, Thana No.:157, Survey No.:13, Block- Hajipur Mauja - युसुफपुर दिग्घीखुर्द District - VaishaliPlot No -3095 and 3101",08 Apr 2019
Sumitra Enclave,BRERAP00043-008/79/R-1611/2023,SK BUILDERS & COLONISOR PRIVATE LIMITED,,16 Oct 2023
SUMITRA HEIGHTS,BRERAP14524-1/1049/R-784/2019,BAIDHANATH CONSTRUCTIONS PVT. LTD.,"Near AIIMS, Mauza - Bhusaula, Danapur, Block- Danapur Mauja - दानापुर District - PatnaPlot No -136, 137",18 Oct 2019
SUMITRA MITTAL ENCLAVE,BRERAP00663-1/485/R-533/2019,MITTAL TECH LLP,,26 Mar 2019
SUN CITY,BRERAP00682-3/669/R-657/2019,BHUSWAMI BUILDCON PVT LTD,"KANDI-NAWADA,GAYA-PATNA ROAD,GAYA-823003, Block- Sadar Gaya Mauja - कंडी नवादा District - GayaPlot No -1259,1076/1277/1077/1276/1077/1260",30 May 2019
SUN SQUARE,BRERAP23443-1/22/R-1349/2022,CRATUS PARAAK INFRA LLP,"KANKERBAGH MAIN ROAD, Block- Patna Sadar Mauja - लोहानीपुर District - PatnaPlot No -294",06 Apr 2022
SUNAINA APARTMENT,BRERAP21644-1/1165/R-1011/2020,MAGADH RAJ CONSTRUCTIONS PVT LTD,"KHATA NO. 55, TAUZI NO. 435, MAUZA- JAKARIAPUR, P.S. RAM KRISHNA NAGAR, Block- Patna Sadar Mauja - जकरियापुर District - PatnaPlot No -491",04 Aug 2020
SUNAINA TOWER,BRERAP44704-3/170/R-1474/2022,MAA SHAKTI INFRACON PVT LTD,"PLOT NO-173, 167P, KHATA NO-247,308. MAUZA-KHAJPURA, PATNA SADAR, Block- Patna Sadar Mauja - खाजपुरा District - PatnaPlot No -173, 167P",19 Oct 2022
SUNANDA ENCLAVE,BRERAP31143-1/11/R-1748/2024,ORCHID HOMES REALTORS,"SURVEY PLOT NO.- 373 P, KHATA NO.- 42, MAUZA- MAINPURA SHANKAR, THANA- DANAPUR, DISTRICT- PATNA, Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -373 P",20 Aug 2024
SUNCITY RESIDENTIAL COMPLEX,BRERAP00682-4/1299/R-1081/2020,BHUSWAMI BUILDCON PVT LTD,"MOHALLA-BITHO,THANA NO 193,THANA -CHAKAND., Block- Sadar Gaya Mauja - बिथो District - GayaPlot No -1205 PART",31 Dec 2020
SUNDAR CITY,BRERAP00814-1/1041/R-914/2020,Lavnya Estate Private Limited,,25 Feb 2020
SUNDAR CITY,BRERAP00933-1/648/R-436/2019,ADITYA BHASKAR INFRA & SERVICES PRIVATE LIMITED,,15 Feb 2019
SUNDAR CITY PHASE II,BRERAP00933-3/1087/R-923/2020,ADITYA BHASKAR INFRA & SERVICES PRIVATE LIMITED,,06 Mar 2020
Sundaram Residency,BRERAP00291-1/243/R-238/2018,StructoArch Consultants Pvt. Ltd.,"Khata no. 703, 711, 715, Thana No. 02, Tauzi No. 5563, Mauza- Mainpura, Block- Patna Sadar Mauja - मैनपुरा District - PatnaPlot No -1287, 1288, and 1290",01 Nov 2018
SUNDRAM APARTMENT,BRERAP/00016-017/72/R-1687/2024,KUMAR BUILDCON PVT LTD,,10 May 2024
SUNIT AMBROSIA,BRERAP20442-1/970/R-758/2019,SUNIT HOUSING PRIVATE LIMITED,"Balaji Nagar, Khagaul Road, Near Saguna More, Behind Hitech Hospital, Danapur, Patna., Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -462, 463, 465, 466, 467",12 Sep 2019
Sunita Villa,BRERAP21712-1/1215/R-1028/2020,Bipin Kumar Singh,"Mauza- Mainpura, Pargana- Phulwari, Thana- Danapur, Tauzi No-5234, Thana No- 24, Khata No- 184, Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -418",26 Aug 2020
SUNRISE,BRERAP04528-1/08/R-1546/2023,URBAN REALTY HOMES,"PLOT NO-247, KHATA NO-72, MAUZA-BABAKARPUR, PARGANA-DANAPUR, PATNA , Block- Danapur Mauja - ववक्करपुर District - PatnaPlot No -247",02 May 2023
SUNRISE ASHOKA COMPLEX,BRERAP00029-9/155/R-1457/2022,Sunrise Sai Developers Pvt. Ltd.,"PILLOR NO.-185, DIGHA AIIMS ROAD,DANAPUR,PATNA, Block- Danapur Mauja - रुकनपुरा District - PatnaPlot No -48",31 Aug 2022
SUNRISE EXOTICA RESIDENCY,BRERAP72047-1/1300/R-1244/2021,SUNRISE EXOTICA DEVELOPERS PVT. LTD.,"KUSHUMPURAM COLONY NEAR RAMDULARI APARTMENT GOLA ROAD DANAPUR PATNA, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -1696, 1697, 1695, 1698",01 Dec 2021
SUNRISE PREMISES,BRERAP00632-4/115/R-1286/2022,VIKRAMSHILA DEVELOPERS PRIVATE LIMITED,"CHANDI PRASAD LANE, NEAR SIKSHAK SANGH, JOGSAR, BHAGALPUR., Block- Jagdishpur Sadar Mauja - खलीफाबाग(मसाकचक)(वार्ड-7) District - BhagalpurPlot No -437",04 Mar 2022
SUNRISE RASHMI HEIGHTS,BRERAP00029-7/116/R-1247/2021,Sunrise Sai Developers Pvt. Ltd.,"VIJAY SINGH YADAV PATH,DANAPUR KHAGAUL ROAD,PATNA, Block- Danapur Mauja - आदमपुर कला District - PatnaPlot No -269,270,271,272,273 and 285.",23 Dec 2021
SUNRISE RESIDENCY,BRERAP00029-5/1146/R-890/2020,Sunrise Sai Developers Pvt. Ltd.,"KUSUMPURAM COLONY GOLA ROAD NEAR PATLIPUTRA RAILWAY STATION DANAPUR PATNA, Block- Danapur Mauja - धनौत District - PatnaPlot No -58",31 Jan 2020
SUNRISE RUPASPUR CITY,BRERAP00029-6/26/R-1138/2021,Sunrise Sai Developers Pvt. Ltd.,"SAUBHAGYA SHARMA PATH RUPASPUR PATNA, Block- Danapur Mauja - धनौत District - PatnaPlot No -570,956,964,965,966,967,968,969,970,971",22 Feb 2021
SUNRISE SAI ENCLAVE,BRERAP00029-8/104/R-1417/2022,Sunrise Sai Developers Pvt. Ltd.,"NEAR HOLLY MISSION SCHOOL,VIAY SINGH YADAV PATH,DANAPUR KHAGAUL ROAD, DANAPUR,PATNA, Block- Danapur Mauja - आदमपुर कला District - PatnaPlot No -57 P",21 Jun 2022
SUNRISE SAI OZONE PLAZA,BRERAP00029-2/147/R-39/2018,Sunrise Sai Developers Pvt. Ltd.,"NEAR DOON PUBLIC SCHOOL,RPS MORE, BAILEY ROAD, PATNA., Block- Danapur Mauja - सगुना District - PatnaPlot No -391(P), 392(P), 393(P) & 398(P)",04 Jun 2018
SUNRISE SAI PLAZA,BRERAP00029-1/93/R-19/2018,Sunrise Sai Developers Pvt. Ltd.,"KUSHUMPURAM COLONY, GOLA ROAD, NEAR PATLIPUTRA RAILWAY STATION, Block- Danapur Mauja - धनौत District - PatnaPlot No -47 & 54(P)",11 May 2018
SUNRISE SAI TOWER,BRERAP00029-3/151/R-108/2018,Sunrise Sai Developers Pvt. Ltd.,"NEAR CAPITAL GREEN APPARTMENT, R.K. PURAM, DANAPUR KHAGAUL ROAD,PATNA, Block- Danapur Mauja - जमसौत District - PatnaPlot No -2168",25 Jul 2018
SUNRISE SUNHARI PALACE,BRERAP00029-4/187/R-52/2018,Sunrise Sai Developers Pvt. Ltd.,"KALIKET NAGAR,NEAR VATIKA PRIMER,BAILEY ROAD, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -106&107(P)",19 Jun 2018
SUNRISE VIEW,BRERAP12328-001/85/R-1596/2023,SUNSHINE HOMES,,24 Aug 2023
SURAJ PALACE,BRERAP00339-1/528/R-377/2019,RANDHIR KUMAR,"SURAJ PALACE, MAULLABAGH, PAKRI, ARA, BHOJPUR, Block- Ara Mauja - पकड़ी District - BhojpurPlot No -211,212",08 Nov 2021
SURAJ SUMAN,BRERAP00907-1/222/R-1519/2023,FLORIAN CONSTRUCTION PRIVATE LIMITED,"MITHILA COLONY, MAUZA-DIGHA, POLICE STATION -DANAPUR, PATNA , Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -801P,798,796P,797P",23 Jan 2023
SURAJ TRADE CENTRE,BRERAP00373-6/1270/R-1236/2021,AURA CONSTRUCTION,"KANKERBAGH MAIN ROAD, NEAR COLONY MORE, BESIDE KRISH HUNDAI SHOWROOM, OLD BYE PASS ROAD, Block- Patna Sadar Mauja - लोहानीपुर District - PatnaPlot No -160/1380",08 Nov 2021
SURAVI APARTMENT PRIVATE LIMITED,BRERAP23246-1/113/R-1610/2023,SURAVI APARTMENTS PRIVATE LIMITED,,10 Oct 2023
SURENDRA SAVITRI APARTMENT,BRERAP00888-3/14/R-1235/2021,ABHIJEET BUILDTECH PRIVATE LIMITED,"LAL KOTHI, TATARPUR, BHAGALPUR, Block- Sabour Mauja - बहादुरपुर District - BhagalpurPlot No -1500 KA,KHA, GHA,PART 1499, KA, GHA",08 Nov 2021
SURENDRAPURAM,BRERAP94245-1/179/R-1482/2022,BALAJI SUNRISE,,21 Oct 2022
SURESH PALACE,BRERAP00586-1/437/R-521/2019,KANAN HOMES PRIVATE LIMITED,"KASTURBA PATH, RAJAPUR SK PURI, Block- Patna Sadar Mauja - राजापुर District - PatnaPlot No -868",25 Mar 2019
SURNIL MAINSON,BRERAP71111-2/818/R-807/2019,PASHURAM CONSTRUCTION PVT LTD,"PHULWARISHARIF,SHEIKHURA
,THANA NO-111,KHATA NO-08,Plot no-315P,Patna, Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -315 P",31 Oct 2019
SURYA MANSION & CHANDRAKANTA,BRERAP00243-12/736/R-461/2019,APNA AWAS CONSTRUCTION PVT.LTD.,"Surya Mansion & Chandrakanta, G.D. Mishra Path, New Patliputra Colony, Patna, Block- Patna Sadar Mauja - अङरा District - PatnaPlot No -1073, 1076 & 1081",22 Oct 2020
SURYA SHUBHAM VIHAR,BRERAP00146-1/83/R-141/2018,M S SURYA ENGICON,"MAIN GOLA ROAD,PATNA, Block- Danapur Mauja - दानापुर District - PatnaPlot No -1246,1247",23 Aug 2018
Surya Shyam Vihar Block B,BRERAP00104-1/33/R-34/2018,Surya Developer and Planner Pvt ltd,"Near R.P.S Engineering College, Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -875P,Khata No 68",04 Jun 2018
SURYA SIGNATURE,BRERAP00057-2/30/R-1368/2022,SURYA NESTBUILD LTD,"SURYA SIGNATURE AT MAUZA MUSTAFAPUR SAGUNA KHAGAUL MAIN ROAD P S KHAGAUL PATNA , Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -430/431/432/434/435/439/440/441/442/443/444/445/446/447/448/449/450/451/452/453/454/455/460/461/462/463/464/465/466/467/489PART",08 Apr 2022
Surya Singh Vihar block A and B,BRERAP00106-1/32/R-33/2018,S.D.S.D. AND P. PVT. LTD (J.V),"East Gola Raod Danapur, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -Plot No.1077(P),Kata No.885",04 Jun 2018
SURYA TARUMITRA ENCLAVE,BRERAP65540-1/175/R-1332/2022,SURYA TARUMITRA ENCLAVE,"C/O RAVINDRA KISHOR PRASAD SONARU FATHUA PATNA, Block- Fatuha Mauja - सोनारु District - PatnaPlot No -784,785",01 Apr 2022
SURYAMANGLAM COMPLEX,BRERAP01032-002/103/R-1598/2023,SUMANGLAM CONSTRUCTION,,25 Aug 2023
SUSHANT LAKE VIEW APARTMENT,BRERAP45757-1/921/R-665/2019,NANAK CONSTRUCTIONS,"SAIFULLAGANJ, RAKSHLAYA NAGAR, Block- Darbhanga Mauja - सैफुल्लाहगंज District - DarbhangaPlot No -MS PLOT NO 7487 , R.S PLOT NO 9373P",18 Jun 2019
SUSHEELA ENCLAVE,BRERAP00063-2/44/R-15/2018,PATLIPUTRA ENGINEERS PRIVATE LIMITED,"ABHIMANYU NAGAR, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -339",05 May 2018
SUSHILA COMPLEX,BRERAP13424-3/122/R-1441/2022,KUSIKA TRADSERV PRIVATE LIMITED,"MOHALLA- JAIRAM BAZAAR, KHAUGAUL, MAUZA-SAIDPURA, SALAIMPUR CHUTRA,PRAGNA-PHULWARI,THANA- DANAPUR, Block- Danapur Mauja - सैदपुरा District - PatnaPlot No -472,474,475",22 Jul 2022
SUSHILA ENCLAVE,BRERAP00676-1/500/R-546/2019,DEWANSHI ESTATES PRIVATE LIMITED,"SURKHIKAL ROAD, BARARI, TILKAMANJHI, Block- Jagdishpur Sadar Mauja - खंजरपुर(वार्ड न.4) District - BhagalpurPlot No -965 KA, KHA, 967, 968 KA, KHA. 969 KA(PART)",02 Apr 2019
SUSHILA GRIHAM HEIGHTS,BRERAP32848-1/146/R-1772/2024,BUDDHA REALTY PRIVATE LIMITED,"NH 82, NEW BYPASS, SHRHERI MORE, MANPUR, MAUZA- SALEMPUR, GAYA , Block- Manpur Mauja - सलेमपुर District - GayaPlot No -98",24 Oct 2024
SUSHILA RESIDENCY,BRERAP00373-3/565/R-630/2019,AURA CONSTRUCTION,"Sushila Residency, West Lohanipur, P.S. – Kadamkuan, Town & District - Patna, Block- Patna Sadar Mauja - पृथ्वीपुर District - PatnaPlot No -06 & 08 / 97 & 71",20 May 2019
Sushma Enclave,BRERAP83108-1/1003/R-754/2019,Transform Developers,"Khata No-130,Survey No-44,Thana No-115,Mauza Sahpur,Thana Gopalpur, Block- Danapur Mauja - शाहपुर District - PatnaPlot No -44",11 Nov 2019
SV HEIGHTS,BRERAP92833-1/165/R-1345/2022,SAI VANDANA ASSOCIATES,"PLOT NO-361,362 AND 363, RUPASPUR, PATNA , Block- Danapur Mauja - धनौत District - PatnaPlot No -361,362 AND 363",05 Apr 2022
SWARAJ-KAMTA ENCLAVE,BRERAP00328-3/918/R-686/2019,SWARAJ VASTU DEVELOPERS PVT LTD,"BEHIND CHITWAN ERNTERPRISES,OPP-FORD CAR SHOW ROOM,SAGUNA,DANAPUR,PATNA, Block- Danapur Mauja - सगुना District - PatnaPlot No -509",10 Jul 2019
SWARN BHOOMI,BRERAP34226-1/07/R-1186/2021,PRITAM KUMAR MOHANKA,"Bhaskar Nagar, Near Polytechnic Chawk, Opposite Fire Station, Block- Purnia East Mauja - मधुबनी District - PurneaPlot No -3623/67",28 Aug 2021
Swashtika Bhawan,BRERAP00149-1/81/R-135/2018,Quality Tech Infrahomes Pvt Ltd.,"Bhagwat Nagar, Near 90 Ft Road ,Patna , Block- Patna Sadar Mauja - कुम्‍हरार District - PatnaPlot No -406P",16 Aug 2018
SWASTI PARADISE,BRERAP84652-1/96/R-1412/2022,IMPERIAL BUILDCON,"IMLI CHOWK, BELA, MUZAFFARPUR, BIHAR , Block- Musahari Mauja - कन्हौली विशुनदत्त District - MuzaffarpurPlot No -68",21 Jun 2022
Swastik City,92/2023/399,SHUBH SWASTIK MEGA PROJECTS (OPC) PRIVATE LIMITED,,
Swastik Moti Vatika,93/2023/400,SHUBH SWASTIK MEGA PROJECTS (OPC) PRIVATE LIMITED,,
TABASSUM RESIDENCY,BRERAP000906-1/1108/R-976/2020,PEACE S SQUARE BUILDTECH,"R K NAGAR, FCI ROAD, Block- Danapur Mauja - खलीलपुरा District - PatnaPlot No -876, 877, 880",08 May 2020
TAHERA COMPLEX,BRERAP01040-1/705/R-1256/2022,AZAD DEVELOPERS,"BHAGWAN MAHAVIR PATH, TATARPUR, Block- Jagdishpur Sadar Mauja - वार्ड न. 16 District - BhagalpurPlot No -703",21 Jan 2022
TARUN VILLA,BRERAP00178-013/53/R-1698/2024,RUDRA CONSTRUCTIONS,,30 May 2024
Tatharaj Gharana,BRERAP00167-3/114/R-78/2018,Gharana Associate InfraPromoters Pvt. Ltd.,"Khata No: 205, Plot No: 511 & 513,  P.S-Bodhgaya, Mauja - Mastipur, Bodhgaya, Gaya, Block- Bodh Gaya Mauja - मस्‍तीपुर District - GayaPlot No -Khata-205, Plot No: 511 & 513",06 Jul 2018
Tech Towne,BRERAP00134-5/813/R-813/2019,Star india construction private ltd,,06 Nov 2019
TECHNO CITY,BRERAP00080-2/647/R-589/2019,Eastern Estate Construction & Developers Pvt. ltd.,"LAI ROAD,NEAR IIT BIHTA, THANA NO. 17 & 19, Block- Bihta Mauja - मीठापुर District - PatnaPlot No -1, 15, 16, 17, 1764, 1765, 1766, 1767, 1768, 1769, 1772",04 Jan 2023
TEJ TOWER,BRERAP45734-1/1014/R-770/2019,SINGLE POINT CONSTRUCTION PRIVATE LIMITED,"OPPOSITE G.D GOENKA PUBLIC SCHOOL,RASALPUR,GAYA , Block- Khizarsaray Mauja - रसलपुर(1) District - GayaPlot No -1696 N",15 May 2023
TEJAS RESIDENCY 30,BRERAP22821-1/06/R-1213/2021,M/S RATNAKAR HOMES INFRASTRUCTURE,"DHANAUT,MAHUA BAGH,DANAPUR,PATNA,BIHAR, Block- Danapur Mauja - धनौत District - PatnaPlot No -2459,2460",22 Sep 2021
TEJASWIS FATIMA ILIYAS APARTMENT,BRERAP000432-8/1213/R-944/2020,TEJASWI INFRAATECH PRIVATE LIMITED,"BALLOPUR, Block- Bahadurpur Mauja - बल्लोपुर District - DarbhangaPlot No -123",05 May 2020
TEJASWIS LOTUS TOWER,BRERAP000432-7/1198/R-945/2020,TEJASWI INFRAATECH PRIVATE LIMITED,"RAJKUMARGANJ, Block- Alinagar Mauja - धमसाईन District - DarbhangaPlot No -7484,7497,7498,7501,7503,7504,7505,7506,7507,7508,7509",05 May 2020
TEJASWIS SARASWATI APARTMENT,BRERAP20432-9/1288/R-1249/2021,TEJASWI INFRAATECH PRIVATE LIMITED,"SUBHANKARPUR, Block- Benipur Mauja - शुभंकरपुर पौहद्दी District - DarbhangaPlot No -12994",27 Dec 2021
