XID,Project Name,Location,Price Range,Price per Sqft,Project Status,Configurations,Unit Sizes,Builder,Total Number of Units,Project Size,Launch Date,Completion Date,Locality,Micro Market,USP,Builder URL,Builder Experience,Ongoing Projects,Past Projects,RERA Number,Specifications,Sports Amenities,Convenience Amenities,Safety Amenities,Environment Amenities,Leisure Amenities
r349637,Candeur Signature,"Varthur, Bangalore",Rs55.10 Lac - 58.42 Lac,"Rs7,740 Per Sq. Ft",Under Construction,"1, 2, 3 BHK",580 Sq. Ft to 1590 Sq. Ft (Saleable),Candeur Constructions,1232 units,11.5 Acres,Ask for Details,Ask for Details,Varthur,East Bangalore,"Amphitheatre,Convertible bedroom area,Near major business hubs,80% open space,The project provides 1,232 units over 11.5 acres, with plenty of open space,Residents have access to a meditation lawn, half basketball court, and cricket pitch,Located in Varthur, near IT parks such as Whitefield and Marathahalli,Energy-efficient apartments with sound ventilation,Planned considering Vastu principles for a positive living",https://www.squareyards.com/candeur-constructions-projects/3280/builder,N/A,6,5,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Skating Rink,Power Backup; Medical Facility; Day Care Center; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,Large Green Area,Cafe / Coffee Bar; Reading Room/Library; Sauna; Party Hall; Clubhouse; Amphitheater; Spa
r60175,Adani The North Park,"Shantigram, Ahmedabad",Rs4.00 Cr - 6.65 Cr,N/A,Ready to Move,"4, 5, 6 BHK",4797 Sq. Ft to 10503 Sq. Ft (Carpet),Adani Realty,165 units,56 Acres,Ask for Details,Ask for Details,Shantigram,Gandhinagar,,https://www.squareyards.com/adani-realty-projects/4/builder,31 Years Experience,11,32,CITY/AUDA/AA00022/220822R1,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Tennis Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Golf Simulator,Power Backup; 24*7 Water Supply; Party Lawn,24 x 7 Security; CCTV / Video Surveillance,Large Green Area,Amphitheater; Indoor Games; Jacuzzi
r291747,Aditya World City,"Shahpur Bamheta, Ghaziabad",Rs26.08 Lac - 74.52 Lac,"Rs5,400 Per Sq. Ft",Ready to Move,"1, 2, 3 BHK",483 Sq. Ft to 1380 Sq. Ft (Saleable),Aditya Builders And Developers,348 units,8 Acres,Ask for Details,Ask for Details,Shahpur Bamheta,Ghaziabad City,"Premium Amenities,Trusted Builders,Vastu Compliant,15% Green Belt Area,Spreading across 185 acres of land, providing a mix of residential and commercial areas.,From apartments to villas, options meeting varied tastes.,Being close to NH-24 provides hassle-free connectivity.,Facilities such as parks, gyms, and pools improve standards of living.,Highlighting green spaces encourages people to live sustainably.",https://www.squareyards.com/aditya-builders-and-developers-projects/173/builder,40 Years Experience,3,32,UPRERAAGT10119,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Clubhouse; Indoor Games
r299129,Gaiagen Park Residences,"Dahisar West, Mumbai",Rs1.37 Cr - 3.24 Cr,N/A,Ready to Move,"1, 2, 3 BHK",435 Sq. Ft to 1167 Sq. Ft (Carpet),Gaiagen Technologies,95 units,1.1 Acres,Ask for Details,Ask for Details,Dahisar West,Mumbai Western Suburbs,,https://www.squareyards.com/gaiagen-technologies-projects/19570/builder,N/A,1,N/A,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Volleyball; Yoga Areas; Jogging / Cycle Track,Power Backup; High Speed Elevators; 24*7 Water Supply; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Intercom Facility; Video Phone,Normal Park / Central Green,Party Hall; Indoor Games
r351937,Varsha Balaji Park,"Kharghar, Navi Mumbai",Rs1.14 Cr - 2.58 Cr,"Rs22,253 Per Sq. Ft",Under Construction,"1, 2, 3 BHK",478 Sq. Ft to 843 Sq. Ft (Carpet),Varsha Group,96 units,1.28 Acres,Ask for Details,Ask for Details,Kharghar,CBD Belapur,,https://www.squareyards.com/varsha-group-projects/11770/builder,N/A,3,2,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink; Gazebo,Power Backup; Treated Water Supply; High Speed Elevators; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Normal Park / Central Green,Indoor Games; Obeservatory Deck; Senior Citizen Area
r307055,Rainbow Revell Orchid,"Lohgaon, Pune",Rs55.12 Lac - 86.17 Lac,"Rs6,776 Per Sq. Ft",Under Construction,"2, 3 BHK",641 Sq. Ft to 1002 Sq. Ft (Carpet),Rainbow Housing,324 units,2.16 Acres,Ask for Details,Ask for Details,Lohgaon,Pune East,,https://www.squareyards.com/rainbow-housing-projects/1756/builder,N/A,3,7,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
r296663,Nirman Aura,"Ambegaon Budruk, Pune",Rs46.05 Lac - 63.00 Lac,N/A,Ready to Move,"1, 2 BHK",440 Sq. Ft to 602 Sq. Ft (Carpet),Nirman Developers,308 units,Ask for Details,Ask for Details,Ask for Details,Ambegaon Budruk,Pune South,"Nirman Aura: Luxurious living amidst world-class connectivity and amenities.,Experience flawless lifestyle with 24x7 power backup and gymnasium at Nirman Aura.,Lavish Master Bedrooms with Acrylic Emulsion walls and Vitrified Tiles flooring at Nirman Aura.,Unbeatable location: Apartments near Mumbai-Pune Expressway at Nirman Aura, perfect for daily commuters.,Relish a secure and comfortable living experience with dedicated RERA registration at Nirman Aura.,Discover a tranquil living experience amidst lush surroundings at Nirman Aura, Ambegaon Budruk.",https://www.squareyards.com/nirman-developers-projects/11037/builder,N/A,3,9,A51800000454,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Clubhouse; Amphitheater; Indoor Games
r983,Elita Garden Vista,"New Town, Kolkata",Price on Request,N/A,Ready to Move,"2, 3 BHK",1210 Sq. Ft to 1742 Sq. Ft (Saleable),Merlin Group,1549 units,25 Acres,Ask for Details,30-Dec-20,New Town,East Kolkata,,https://www.squareyards.com/merlin-group-projects/710/builder,35 Years Experience,5,68,HIRA/A/NOR/2018/000035,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Fittings & Fixtures: VRV AC Fittings, Split Air Conditioner; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Others; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Squash Court; Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Gazebo,Power Backup; PNG; Day Care Center; Guest House; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Senior Citizen Area
r12510,My Home Vihanga,"Gachibowli, Hyderabad",Rs1.06 Cr - 2.05 Cr,"Rs10,117 Per Sq. Ft",Well Occupied,"2, 3, 4 BHK",1115 Sq. Ft to 2160 Sq. Ft (Saleable),My Home Group,1996 units,21 Acres,Ask for Details,Ask for Details,Gachibowli,West Zone,,https://www.squareyards.com/my-home-group-projects/3507/builder,N/A,6,22,REA02400000010,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Bathroom: Shower Panel, Geyser, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Sauna; Party Hall; Cards Room; Clubhouse; Indoor Games; Spa; Jacuzzi
r267245,Vizag Green City Homes,"Vadlapudi, Vizag",Rs40.70 Lac - 44.40 Lac,"Rs3,700 Per Sq. Ft",Partially Ready To Move,2 BHK,1100 Sq. Ft to 1200 Sq. Ft (Saleable),Vizag Profiles Pvt Ltd,550 units,5 Acres,Ask for Details,Ask for Details,Vadlapudi,Vizag Central,"Strategically located on NH 16, connecting Vadlapudi to Vizag city.,Stunning apartments at affordable prices in Vizag s green,Unwind at the gym and enjoy power backup convenience.,Luxurious living with acrylic emulsion painted rooms.,Vitrified tiled floors in all bedrooms for durability.",https://www.squareyards.com/vizag-profiles-pvt-ltd-projects/3003/builder,N/A,1,N/A,A15051800006,Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Large Green Area,Party Hall; Clubhouse; Indoor Games
r370528,Adarsh Greens,"Kogilu, Bangalore",Rs85.95 Lac - 90.45 Lac,"Rs9,000 Per Sq. Ft",Ready to Move,2 BHK,955 Sq. Ft to 1005 Sq. Ft (Saleable),Adarsh Developers,1608 units,26 Acres,Ask for Details,Ask for Details,Kogilu,North Bangalore,,https://www.squareyards.com/adarsh-developers-projects/4684/builder,N/A,8,51,PRM/KA/RERA/1251/310/AG/171114/000400,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Ceilings: False Ceiling; Fittings & Fixtures: Air Conditioner Fittings; Bathroom: Shower Panel, Geyser, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Football; Cricket; Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Golf Putting; Rappelling/Rock Climbing,Power Backup; Restaurant; Treated Water Supply; Medical Facility; Pet Area; 24*7 Water Supply; Separate Enrty /Exit Gates; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area; IGBC Certified Building,Party Hall; Clubhouse; Amphitheater; Indoor Games; Senior Citizen Area
r43540,Om Tropica,"Ravet, Pune",Rs58.82 Lac - 1.09 Cr,"Rs6,111 Per Sq. Ft",Ready to Move,"2, 3 BHK",514 Sq. Ft to 954 Sq. Ft (Carpet),Om Dvlp,494 units,6 Acres,Ask for Details,Ask for Details,Ravet,Pimpri Chinchwad PCMC,,https://www.squareyards.com/om-dvlp-projects/18156/builder,N/A,2,N/A,A51800000454,"Master Bedroom-Walls: Acrylic Emulsion; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Acrylic Emulsion; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning, False Ceiling; Fittings & Fixtures: Air Conditioner Fittings; Kitchen-Equipments: Modular Kitchen; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; PNG; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Smoke/Heat Sensors; Intercom Facility; Video Phone; Emergency Rescue / Alarms; Entertainment Zone,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Cafe / Coffee Bar; Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Indoor Games; Conference Room; Jacuzzi; Senior Citizen Area
r36096,Nambiar District 25,"Dommasandra, Bangalore",Rs1.47 Cr - 3.08 Cr,N/A,New Launch,"2, 3, 4 BHK",1195 Sq. Ft to 2512 Sq. Ft (Saleable),Nambiar,796 units,63.33 Acres,Ask for Details,Ask for Details,Dommasandra,South Bangalore,,https://www.squareyards.com/nambiar-projects/1918/builder,N/A,2,6,PRM/KA/RERA/1251/310/AG/171114/000400,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards; Skating Rink,Power Backup; Treated Water Supply; Pet Area; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Mini Theatre; Sauna; Party Hall; Clubhouse; Amphitheater; Indoor Games; Spa; Senior Citizen Area
r222693,Bhoomi Maple 07,"Karanjade, Navi Mumbai",Price on Request,N/A,Ready to Move,"1, 2 BHK",300 Sq. Ft to 561 Sq. Ft (Carpet),Bhoomi And Dharti Associates,83 units,0.32 Acres,Ask for Details,Ask for Details,Karanjade,Panvel,,https://www.squareyards.com/bhoomi-and-dharti-associates-projects/21668/builder,N/A,1,N/A,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply,24 x 7 Security,Normal Park / Central Green,Indoor Games
r317557,GK Rose Mansion,"Punawale, Pune",Rs35.00 Lac - 57.76 Lac,N/A,Ready to Move,"1, 2 BHK",339 Sq. Ft to 558 Sq. Ft (Carpet),G K Associates,240 units,2 Acres,Ask for Details,Ask for Details,Punawale,Pimpri Chinchwad PCMC,,https://www.squareyards.com/g-k-associates-projects/1586/builder,N/A,27,N/A,A51800000454,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Ceilings: PoP Design / Punning, False Ceiling; Fittings & Fixtures: Air Conditioner Fittings; Bathroom: Shower Panel, Premium Bath Fittings, Exhaust Fan; Structure: RCC Frame Structure",Gymnasium; Badminton Court(s); Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Clubhouse; Indoor Games
r53018,Kunal Regulus,"Balewadi, Pune",Rs78.00 Lac - 1.41 Cr,N/A,Ready to Move,"2, 3 BHK",867 Sq. Ft to 1568 Sq. Ft (Saleable),Kunal,157 units,6 Acres,Ask for Details,Ask for Details,Balewadi,Pune West,,https://www.squareyards.com/kunal-projects/1615/builder,31 Years Experience,1,33,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Kids' Play Areas / Sand Pits; Jogging / Cycle Track,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance,Normal Park / Central Green,Party Hall; Indoor Games
r4058,TVH Ouranya Bay,"Kelambakkam, Chennai",Rs45.38 Lac - 1.56 Cr,"Rs3,750 Per Sq. Ft",Ready to Move,"2, 3, 4, 5 BHK",Ask for Details,TVH,612 units,14.5 Acres,Ask for Details,30-Aug-17,Kelambakkam,Chennai South,"Affordable luxury apartments near ECR State Highway SH 49,Strategic location on Old Mahabalipuram Road, Chennai,Contemporary amenities like power backup and gymnasium,Spacious rooms with vitrified tiles flooring,Investment opportunity in Kelambakkam s prime locality",https://www.squareyards.com/tvh-projects/636/builder,22 Years Experience,11,N/A,Delhi/Agent/0027/2017,Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Living Area-Flooring: Vitrified Tiles; Bathroom: Premium Bath Fittings; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Table Tennis,Power Backup; 24*7 Water Supply; Lift,24 x 7 Security; Intercom Facility,Rain Water Harvesting; Normal Park / Central Green; Solar Lighting,Reading Room/Library; Party Hall; Clubhouse; Indoor Games
r11938,Sahara Grace Gurgaon,"Sector 28, Gurgaon",Rs3.05 Cr - 6.92 Cr,N/A,Well Occupied,"3, 4 BHK",2907 Sq. Ft to 6594 Sq. Ft (Saleable),Sahara India Pariwar,207 units,10.9 Acres,Ask for Details,1-Apr-08,Sector 28,Central Gurgaon,,https://www.squareyards.com/sahara-india-pariwar-projects/10355/builder,N/A,5,N/A,660/2017/307,"Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Laminated Wooden; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Kitchen-Equipments: Modular Kitchen; Bathroom: Shower Panel, Geyser, Premium Bath Fittings; Structure: RCC Frame Structure",Gymnasium; Swimming Pool; Badminton Court(s); Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Party Hall; Clubhouse; Indoor Games
r255473,Rishi Pranaya Phase I,"Rajarhat New Town, Kolkata",Rs66.00 Lac - 87.43 Lac,N/A,New Launch,"2, 3 BHK",954 Sq. Ft to 1400 Sq. Ft (Saleable),Rishi Group,543 units,4.7 Acres,Ask for Details,11-Oct-19,Rajarhat New Town,East Kolkata,,https://www.squareyards.com/rishi-group-projects/3453/builder,N/A,1,1,HIRA/A/NOR/2018/000035,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Basketball; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Rain Water Harvesting; Large Green Area,Mini Theatre; Reading Room/Library; Party Hall; Clubhouse; Amphitheater; Indoor Games; Jacuzzi; Senior Citizen Area
r29,Omaxe Grand,"Sector 93B, Noida",Rs93.01 Lac - 1.61 Cr,"Rs8,320 Per Sq. Ft",Ready to Move,"2, 3 BHK",1110 Sq. Ft to 1940 Sq. Ft (Saleable),Omaxe,1320 units,25 Acres,Ask for Details,30-Jan-08,Sector 93B,Noida Expressway,,https://www.squareyards.com/omaxe-projects/80/builder,32 Years Experience,4,75,UPRERAAGT10119,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Ceilings: False Ceiling; Kitchen-Equipments: Modular Kitchen; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Tennis Court(s); Squash Court; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track; Table Tennis; Snooker/Pool/Billiards,Power Backup; Restaurant; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems,Rain Water Harvesting; Sewage Treatment Plant; Large Green Area,Cafe / Coffee Bar; Sauna; Party Hall; Cards Room; Clubhouse; Indoor Games; Conference Room; Spa; Jacuzzi
r397113,Eden The Sanctorum,"Phoolbagan, Kolkata",Rs76.00 Lac - 1.43 Cr,N/A,Mid Stage,"2, 3, 4 BHK",698 Sq. Ft to 1309 Sq. Ft (Saleable),Eden Group Kolkata,63 units,1.25 Acres,Ask for Details,Ask for Details,Phoolbagan,North Kolkata,"Elegant apartments near Eastern Metropolitan Bypass.,State-of-the-art gymnasium for fitness enthusiasts.,Power backup ensuring uninterrupted living.,Quality finishing with oil bound distemper.,Elegant vitrified tile flooring throughout.",https://www.squareyards.com/eden-group-kolkata-projects/9039/builder,24 Years Experience,3,12,HIRA/A/NOR/2018/000035,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Pool; Badminton Court(s); Tennis Court(s); Kids' Play Areas / Sand Pits; Basketball; Volleyball; Yoga Areas; Jogging / Cycle Track; Rappelling/Rock Climbing,Power Backup; Treated Water Supply; Multi-level Parking; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility,Normal Park / Central Green,Amphitheater; Indoor Games; Jacuzzi; Senior Citizen Area
r414177,Ambit Vista,"Santacruz East, Mumbai",Rs2.53 Cr - 3.74 Cr,N/A,New Launch,"2, 3 BHK",702 Sq. Ft to 1040 Sq. Ft (Carpet),Ambit Realtors And Developers,66 units,0.62 Acres,Ask for Details,Ask for Details,Santacruz East,Mumbai Western Suburbs,,https://www.squareyards.com/ambit-realtors-and-developers-projects/20862/builder,N/A,2,N/A,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Vitrified Tiles; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Vitrified Tiles; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Badminton Court(s); Cricket; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift; Party Lawn,24 x 7 Security; CCTV / Video Surveillance; Video Phone,Normal Park / Central Green,Indoor Games; Senior Citizen Area
r75911,Bajaj Emerald,"Andheri East, Mumbai",Rs3.76 Cr - 6.24 Cr,"Rs22,922 Per Sq. Ft",Ready to Move,"2, 3 BHK",720 Sq. Ft to 1197 Sq. Ft (Carpet),Bajaj Internation Reality Pvt Ltd,308 units,2.07 Acres,Ask for Details,30-Apr-18,Andheri East,Mumbai Western Suburbs,,https://www.squareyards.com/bajaj-internation-reality-pvt-ltd-projects/7942/builder,N/A,1,5,A51800000454,Master Bedroom-Walls: Oil Bound Distemper; Master Bedroom-Flooring: Laminated Wooden; Other Bedrooms-Flooring: Vitrified Tiles; Walls: Oil Bound Distemper; Living Area-Flooring: Italian/Imported Marble; Bathroom: Exhaust Fan; Structure: RCC Frame Structure,Gymnasium; Swimming Pool; Kids' Play Areas / Sand Pits; Yoga Areas; Jogging / Cycle Track,Power Backup; Treated Water Supply; 24*7 Water Supply; Lift,24 x 7 Security; CCTV / Video Surveillance; Fire Fighting Systems; Intercom Facility; Video Phone,Rain Water Harvesting; Sewage Treatment Plant; Normal Park / Central Green,Party Hall; Clubhouse; Amphitheater; Indoor Games
