Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,No. of Flats/Apartments constructed,No. of Flats/ Apartments booked,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING,Document URL,OC Document Path
391 OF 2017 DATED 22.12.2017,AANGAN,ALTON BUILDTECH INDIA PVT. LTD.,"SECTOR 88-A TO 89-A, SUB-TEHS
IL HARSARU, GURUGRAM, HARYANA",GURUGRAM,58,14,No,157,41,0,0,0,0,0,0,0,0,0.3519,420,234,1.8125 (Acre),15-12-2022,0,1 HABITABLE SPACES- VITRIFED TILE. 2 TOILET & BALCONY - CERAMIC TILE,1. KITCHEN PLATE FORM -GREEN MARBLE. 2 DADO ABOVE PLATFORM-CERAMIC (600 MM HEIGHT),1. DOOR FRAME -WOODEN 2 WINDOWS- M S Z SECTION,LED FITTING IN COMMON AREAS,TWO NOS IN EACH TOWER ( 1 PASSENGER & 1 STRETCHER CUM FIRE LIFT ),ELECTRICAL POINTS WITH SWTCH & SOCKET AND DB,OBD PAINT,Not Found,Not Available
190 OF 2017 DATED 14.09.2017,COMMERCIAL COLONY,ELAN BUILDCON PVT. LTD.,"SECTOR 84, VILLAGE HAYATPUR,
GURUGRAM",GURUGRAM,0,125,No,550,80,35,660,0,0,0,100,0,0,0,396,320,5.91875 (Acre),13-09-2023,42,VITRIFIED TILES,KITCHEN ATE COUNTER GRANITE & PLY CABINET WITH LAMINATE FINISH,WOODEN DOOR FRAMES ALUMINIUM FRAME WINDOWS,ABB/ L&T SCHNIDER,MITSUBISHI ( LIFT) OTLS ( ESCALATORS),NA,INTERNAL GRADE POINT,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/ODUy,oc\90 OF 2017-OC_uploaded.pdf
391 OF 2017 DATED 22.12.2017,AANGAN,ALTON BUILDTECH INDIA PVT. LTD.,"SECTOR 88-A TO 89-A, SUB-TEHS
IL HARSARU, GURUGRAM, HARYANA",GURUGRAM,58,14,No,157,41,0,0,0,0,0,0,0,0,0.3519,420,234,1.8125 (Acre),15-12-2022,0,1 HABITABLE SPACES- VITRIFED TILE. 2 TOILET & BALCONY - CERAMIC TILE,1. KITCHEN PLATE FORM -GREEN MARBLE. 2 DADO ABOVE PLATFORM-CERAMIC (600 MM HEIGHT),1. DOOR FRAME -WOODEN 2 WINDOWS- M S Z SECTION,LED FITTING IN COMMON AREAS,TWO NOS IN EACH TOWER ( 1 PASSENGER & 1 STRETCHER CUM FIRE LIFT ),ELECTRICAL POINTS WITH SWTCH & SOCKET AND DB,OBD PAINT,Not Found,Not Available
28 OF 2017 DATED 28.07.2017,70 GRANDWALK,SHINE BUILDCON PVT. LTD.,"SECTOR-70, GURUGRAM",GURUGRAM,46.13,85.76,Yes,0,22.92,5.33,0,0,0,0,0,0,0,0,511,232,2.893 (Acre),30-06-2022,0,"GF CENTRAL PLAZA - PAVERS/ TILES, COMMON TOILETS - VITRIFIED / CERAMIC TILES, CORRIDORS / PASSAGE - VITRIFIED / CERAMIC TILES, RETAIL SHOPS - BARE SHELL, COMMON STAIRCASE - KOTA STONE, LIVING ROOM - VITRIFIED FLOORING / LAMINATED WOODEN FLOORING, BALCONY - ANTI-SKID CERAMIC TILES.","WALLS - CERAMIC TILE UP TO 2FT.ABOVE COUNTER AND OIL BOUND DISTEMPER IN THE BALANCE AREA, COUNTER: POLISHED GRANITE COUNTER TOP, FITTING/FIXTURES : CP FITTINGS, SINGLE BOWL STAINLESS STEEL SINK.","ENTRANCE DOORS - SEASONED WOODEN FRAME WITH HARDWOOD (POLISHED) DOOR SHUTTER, INTERNAL DOORS : SEASONED WOODEN FRAME WITH MOULDED SKIN DOOR SHUTTER, EXTERNAL DOOR /WINDOWS : UPVC/ALUMINIUM SLIDING/SWING GLASS SHUTTER.",BRANDED MODULAR SWITCHES AND SOCKETS.,7 PASSENGER 1 SERVICE,BRANDED MODULAR SWITCHES AND SOCKETS. COPPER WIRING,PLASTER WITH PAINT,Not Found,Not Available
184 OF 2017 DATED 14.09.2017,AFFORDABLE GROUP HOUSING COLONY,CHIRAG BUILDTEC PRIVATE LIMITED,"SECTOR 95, VILLAGE DHORKA, GR
UGRAM",GURUGRAM,41.44,176.20,Yes,10.91,69.74,7.69,12.24,0,0,0,0,0,0,0.3811,0,640,5.04375 (Acre),01-02-2018,45,CERAMIC/VITRIFIED TILES,"CERAMIC TILES, PAINT, GREEN MARBLE, SINK","BALCONY DOORS, WINDOWS- ALUMINIUM FRAMING WITH GLASS",LED LIGHTS IN COMMON AREA,12-13 PASSENGER WITH ARD,LED LIGHTS IN COMMON AREA,PAINT,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NDc2,oc\84 OF 2017-OC_uploaded.pdf
337 OF 2017 DATED 27.10.2017,83 METRO STREET,S.V HOUSING PVT. LTD.,"SETOR - 83, GURUGRAM",GURUGRAM,173.05,179.90,No,1364.92,71.95,16.12,620.49,0,0,0,90.00,0,0,4752.420,Not Found,Not Found,4.20 (Acre),Not available,Not available,STONE / TILE FLOORING IN COMMON AREAS,N/A,ALUMINIUM FRAMES WITH GLASS,ELECTRICAL FITTINGS & FIXTURES NOT PROVIDED,10 NOS,ELECTRICAL FITTINGS & FIXTURES NOT PROVIDED,CEMENT / GYPSUM PLASTER IN COMMON AREAS,Not Found,Not Available
219 OF 2017 DATED 18.09.2017,2.9812 ACRES COMMERCIAL PROJECT,PLUS PROJECTS PVT. LTD,"SECTOR-62, GURUGRAM",GURUGRAM,48.26,130.36,No,200,20,3.75,150,0.86,0,0,0,0,0,0,53,49,0.92 (Acre),30-06-2019,100,"GRANITE IN OPEN COURTYARD , PASSAGE , CORRIDORS & STAIRS , VITRIFIED TILES FLOORING","MODULAR TYPE AND OZONE CHANNELS , FLOORING CERAMIC TILES",CHOKHAT FRAME & WINDOW SHUTTER OF SAG WAN AND POLISHABLE WOOD,"GEYSER , FAN",4 LIFT,"GEYSER , FAN",POP AND PAINT,Not Found,Not Available
38 OF 2017 DATED 10.08.2017,2.425 ACRES COMMERCIAL COLONY,OJOS DEVELOPERS PVT. LTD.,"SECTOR 70, GURUGRAM",GURUGRAM,0,133.70,Yes,0,60.02,9.31,0,0,0,0,0,0,0,0,264,175,9813.611 (Sqr/mtrs),31-12-2020,100,BARE SHELL,NA,NA,NA,NA,NA,BARE SHELL,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NjUx,oc\75 OF 2017-OC_uploaded.pdf
57 OF 2017 DATED 17.8.2017,AMB SELFIE SQUARE ( COMMERCIAL PROJECT),VS REALPROJECTS PVT.LTD,"SECTOR-37D, HARSARU, GURUGRAM",GURUGRAM,200,500,No,975,200,200,300,0,0,0,100,0,0,0.4146,660,623,3.775 (Acre),31-12-2021,0,VITREOUS TILES,ANTI SKID TILES,ALUMINIUM,HAVELLS,OTIS,HAVELLS OR EQUIVALENT,NA,Not Found,Not Available
GGM/373/105/2019/67 DATED 06.11.2019,WESTERLIES,EXPERION DEVELOPERS PRIVATE LIMITED,SECTOR 108,GURUGRAM,25099000,1835000,Yes,4696000,4377000,0,0,4972000,0,0,0,0,0,0,0,0,10.04625 (Acre),30-07-2020,80,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MzI3,oc\67 DATED 06.11.2019-OC_uploaded.pdf
57(A) OF 2017 DATED 17.8.2017,M3M MARINA/M3M SIERRA 68 ( GROUP HOUSING COLONY),HANS PROPCON PVT. LTD,"SECTOR-68, GURUGRAM",GURUGRAM,616.56,432.32,No,1085.48,0,98.28,575.9,84.6,426.14,13.35,18.77,0.31313,0,0.6918,1076,456,13.2118 (Acre),31-01-2022,36,VITRIFIED TILE/LAMINATED /CERAMIC TILE,NA,N.A.,BRANDED,NA,BRANDED,PLASTER WITH PAINT,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NTUw,oc\57(A) OF 2017-OC_uploaded.pdf
56 OF 2017 DATED 17.8.2017,M3M LATITUDE ( TOWER R-01),MANGLAM MULTIPLEX PVT. LTD AND OTHERS,"SECTOR-65, GURUGRAM, HARYANA",GURUGRAM,320.00,816.31,Yes,514.38,0,25.00,492.26,37.50,1329.99,0,0,0,0,0,160,109,1.2125 (Acre),31-01-2023,25.29,"LAMINATED WOODEN, IMPORTED MARBLE, ANTI SKID CERAMIC/VITRIFIED TILES",NA,"FLUSH SHUTTER WITH WOODEN DOOR FRAME , ALUMINIUM GLAZING POWDER COATED",BRANDED,HIGH SPEED ELEVATOR,BRANDED,"GRADE PAINT, GLAZINGS",https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NTQ5,oc\56 OF 2017 DATED 17.8.2017-OC_uploaded.pdf
15 OF 2018 DATED 19.01.2018,10.5437 ACRES GROUP HOUSING COLONY,CHD DEVELOPERS LTD.,"SECTOR-71, GURUGRAM",GURUGRAM,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not Found,Not Available
54 OF 2017 DATED 17.08.2017,GODREJ ICON (ICONIC TOWER),OASIS LANDMARKS LLP,"SECTOR 88-A & 89-A, HARSARU,
GURUGRAM",GURUGRAM,521,373,Yes,1399,144,86,230,82,1300,106.07,50,500,0,10020.1,88,21,0.475 (Acre),08-09-2020,100,"VITRIFIED TILE OR EQUIVALENT IN LIVING/DINING, WOODEN FLOORING OR EQUIVALENT IN BEDROOMS, ANTI-SKID TILES OR EQUIVALENT IN TOILETS, KITCHEN, BALCONY & UTILITY",GRANITE COUNTER WITH SINK AND CP FITTINGS,"TEAK FRAME IN MAIN DOOR, RED MERANDI/ FLUSH DOOR IN INTERNAL DOORS, ALUMINIUM FRAME WITH GLASS FOR WINDOWS & SLIDING DOOR WINDOWS",PHILLIPS OR EQUIVALENT LED LIGHTS IN COMMON AREA,STONE ARCHITRAVE AND ITALIAN MARBLE FLOORING IN CAR BODY AND GRANITE CLADDING,LED LIGHTS IN COMMON AREA,ACRYLIC EMULSAN,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NTQ4,oc\54 OF 2017 DATED 17.08.2017-OC_uploaded.pdf
53 OF 2017 DATED 17.08.2017,GODREJ OASIS,OASIS LANDMARKS LLP,"SECTOR 88-A & 89-A, HARSARU,
GURUGRAM",GURUGRAM,207.89,173.36,Yes,1368.39,134.07,0,164.89,4.17,0,0,0,0,0,137.76,311,259,4.40 (Acre),30-09-2019,100,VITRIFIED TILES IN LIVING DINING,KITCHEN FLOORING CERAMIC TILES,"""1)MAIN DOOR FRAME TEA WOOD 2)INTERNAL DOOR FRAME RED MARANDI 3) EXTERNAL FRAMES OF ANODISED ALUMINIUM""",NA,STONE ARCHITRAVE AND ITALIAN MARBLE FLOORING IN CAR BODY AND GRANITE CLADDING,PHILLIPS LED LIGHTS IN COMMON AREA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NTQ3,oc\53 OF 2017 DATED 17.08.2017-OC_uploaded.pdf
50 OF 2017 DATED 12.08.2017,GODREJ ICON,OASIS LANDMARKS LLP,"SECTOR 88-A & 89-A, HARSARU,
GURUGRAM",GURUGRAM,306.61,10.05,Yes,917.56,10.05,22.16,77.19,78.65,1081.12,10,42.08,0,0,9779.21,0,0,14.684 (Acre),31-12-2021,40,VITRIFIED TILES IN LIVING DINING ICONIC TOWER:ITALIAN MARBLE IN LIVING DINNING AND STUDY ROOM,KITCHEN FLOORING CERAMIC TILES,"1)MAIN DOOR FRAME TEA WOOD 2)INTERNAL DOOR FRAME RED MARANDI 3) EXTERNAL FRAMES OF ANODISED ALUMINIUM ICONIC:""1)MAIN DOOR FRAME TEA WOOD 2)INTERNAL DOOR FRAME RED MARANDI 3) EXTERNAL FRAMES OF POWDER COATED ALUMINIUM",NA,STONE ARCHITRAVE AND ITALIAN MARBLE FLOORING IN CAR BODY AND GRANITE CLADDING,PHILLIPS LED LIGHTS IN COMMON AREA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NTQ2,oc\50 OF 2017 DATED 12.08.2017-OC_uploaded.pdf
47 OF 2017 DATED 26.10.2017,LUMINARE PHASE I(SIRIUS),MAHINDRA HOMES PVT. LTD,"SECTOR 59, VILLAGE BEHRAMPUR,
TEHSIL SOHNA, GURUGRAM",GURUGRAM,0,198.06,Yes,0,0,26.09,0,0,0,0,0,0,0,1.738,120,90,2.609 (Acre),22-01-2019,100,"ITALIAN MARBLE,LAMINATED WOODEN FLOOR, ANTI-SKID VITRIFIED TILES,","MODULAR KITCHEN CABINET WITH GRANITE COUNTER TOP/ HOB, CHIMNEY","DOORS- HARDWOOD FRAME WITH FLUSH DOOR WITH VENEER FINISH (ON BOTH SIDE) BOTH SIDE LAMINATED FINISH FLUSH DOOR WITH HARDWOOD FRAME, WINDOWS- UPVC FRAMED DOUBLE GLAZING UNIT",NA,HIGH SPEED ELEVATORS- BY THYSSENKRUPP,NA,LOW VOC ACRYLIC EMULSION,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NDU1,oc\47 OF 2017 DATED 26.10.2017-OC_uploaded.pdf
42 OF 2017 DATED 26.10.2017,LUMINARE PHASE 2(SOLARIS),MAHINDRA HOMES PVT. LTD.,"SEC 59, VILLAGE BEHRAMPUR, SO
HNA, GURUGRAM",GURUGRAM,0,198.06,Yes,0,0,26.09,0,0,0,0,0,0,0,1.679,0,40,2.77 (Acre),31-03-2021,59.24,"ITALIAN MARBLE, LAMINATED WOODEN FLOORING, ANTI-SKID VITRIFIED TILE,","MODULAR KITCHEN CABINET WITH GRANITE COUNTER TOP/ HOB, CHIMNEY","DOORS- HARDWOOD FRAME WITH FLUSH DOOR WITH VENEER FINISH (ON BOTH SIDE) BOTH SIDE LAMINATED FINISH FLUSH DOOR WITH HARDWOOD FRAME, WINDOWS- UPVC FRAMED DOUBLE GLAZING UNIT",NA,HIGH SPEED ELEVATORS- BY THYSSENKRUPP,NA,LOW VOC ACRYLIC EMULSION,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NDkw,oc\42 OF 2017 DATED 26.10.2017-OC_uploaded.pdf
379 OF 2017 DATED 22.12.2017,THE CORRIDORS (PHASE 3),IREO GRACE REALTECH PVT.LTD.,"SECTOR 67-A, VILLAGE DHUMASPU
R AND MAIDAWAS, TEHSIL SOHNA,GURUGRAM, HARYANA",GURUGRAM,1800,600,Yes,0,1800,50,110,30,0,0,110,0,0,0,328,13,8.63 (Acre),31-12-2023,0,STONE/ WOODEN/ TILES,"MODULAR KITCHEN WITH HOB, HOOD, SOLID SURFACE COUNTER TOP, STAINLESS STEEL SINK AND CP FITTINGS/VITRIFIES TILES/ACRYLIC EMULSION",POWDER-COATED ALUMINIUM WINDOWS & FRAMES,-,-,-,ACRYLIC EMULSION,Not Found,Not Available
378 OF 2017 DATED 07.12.2017,THE CORRIDORS (PHASE 1),IREO GRACE REALTECH PVT.LTD.,"SECTOR 67-A, VILLAGE DHUMASPU
R & MAIDAWAS, TEHSIL SOHNA, GURUGRAM, HARYANA",GURUGRAM,1200,950,No,5650,500,150,1400,200,4200,0,20,0,0,19745.678,658,394,13.152 (Acre),30-06-2021,90,STONE/ WOODEN/ TILES,"MODULAR KITCHEN WITH HOB, HOOD, SOLID SURFACE COUNTER TOP, STAINLESS STEEL SINK AND CP FITTINGS/VITRIFIES TILES/ACRYLIC EMULSION",POWDER-COATED ALUMINIUM WINDOWS & FRAMES,-,1 PASSANGER AND 1 SERVICE LIFT,-,ACRYLIC EMULSION,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/OTY5,oc\378 of 2017-OC_uploaded.pdf
38 OF 2017 DATED 10.08.2017,2.425 ACRES COMMERCIAL COLONY,OJOS DEVELOPERS PVT. LTD.,"SECTOR 70, GURUGRAM",GURUGRAM,0,133.70,Yes,0,60.02,9.31,0,0,0,0,0,0,0,0,264,175,9813.611 (Sqr/mtrs),31-12-2020,100,BARE SHELL,NA,NA,NA,NA,NA,BARE SHELL,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NjUx,oc\37 OF 2017 DATED 10.08.2017-OC_uploaded.pdf
367 OF 2017 DATED 24.11.2017,IREO SKYON,IREO PVT.LTD.,"SECTOR -60, VILLAGE ULLHAWAS,
GURUGRAM,HARYANA",GURUGRAM,0,0,Yes,0,0,0,0,0,0,0,0,1663.868,0,0,Not Found,Not Found,0.695 (Acre),Not available,Not available,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Not Found,Not Available
36(A) OF 2017 DATED 05.12.2017,GURGAON GREENS,EMAAR MGF LAND LTD.,"SECTOR -102, VILLAGE DHANKOT,
GURUGRAM",GURUGRAM,261.06,132.27,Yes,55.90,94.15,110.95,460.32,500.21,415.96,53.31,22.70,49.45,0,0.91,687,660,13.531 (Acre),31-12-2019,100,VITRIFIED TILES / LAMINATED WOODEN FLOORING,NA,SEASONED HARDWOOD FRAME / UPVC,MODULAR SWITCHES,PROVIDED,MODULAR SWITCHES,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NjE=,oc\36(A) OF 2017 DATED 05.12.2017-OC_uploaded.pdf
27 OF 2017 DATED 28.08.2017,HABITAT,PRIME INFRASTRUCTURE PVT. LTD,"99-A, VILLAGE DHANKOT, GURUGR
AM",GURUGRAM,152.6,218,No,300,168.8,22.9,70.5,25,48,0,16,0,0,3833.991,816,804,5.95625 (Acre),22-01-2021,2,"IMPORTED STONE FLOORING IN LIVING & DINNING, WOODEN FLOORING IN BEDROOMS AND TILE IN TOILET, KITCHEN, UTILITY AREA AND BALCONY.",STONE COUNTER TOP WITH 2FEET HIGH CERAMIC TILES ABOVE THE COUNTER AND CERAMIC TILE ON FLOOR 396 X 396 MM.,DOOR FRAMES - WOODEN WINDOW FRAMES - UPVC.,NA,"TOTAL 17 NOS LIFTS , 07 ARE STRETCHER LIFTS AND 10 ARE PASSENGER LIFTS.",ISI MARKED,"PLASTIC EMULSION, OBD, ENAMEL & WHITE WASH.",https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTA2Ng==,oc\357 OF 2017-OC_uploaded.pdf
354 OF 2017 DATED 17.11.2017,"ENIGMA, PHASE-2",ATHENA INFRASTRUCTURE LTD.,"SECTOR-110, VILLAGE PAWALA KH
USRUPUR, GURUGRAM",GURUGRAM,449.21,216.63,No,890.41,276.81,22.83,300.88,4.26,1900.00,0,11.42,0.2,0,0,163,144,80354.381 (Sqr/mtrs),30-09-2020,85,IMPORTED MARBLE / WOODEN FLOORING / ANTI SKID VITRIFIED TILES / ANTI SKID PREMIUM CERAMIC TILES / ANTI SKID TILES,GRANITE COUNTER TOP WITH BACK SPLASH IN GRANITE SS DOUBLE SINK AND IMPORTED CP FITTINGS.,GLAZED SLIDING SHUTTERS WITH UPVC / FRAMES WITH CLEAR / FROSTED GLASS,MODULAR SWITCHES.,PASSENGER AND SERVICE LIFTS,ISI APPROVED MAKES,AS SPECIFIED EARLIER,Not Found,Not Available
353 OF 2017 DATED 20.11.2017,"ENIGMA, PHASE-1A",ATHENA INFRASTRUCTURES LTD.,"SECTOR-110, VILLAGE PAWALA KH
USRUPUR, GURUGRAM, HARYANA",GURUGRAM,495.68,183.18,No,744.22,234.06,19.08,254.42,4.70,101.06,113.85,9.54,0,0,0,126,112,80354.381 (Sqr/mtrs),31-03-2018,100,IMPORTED MARBLE / WOODEN FLOORING / ANTI SKID VITRIFIED TILES / ANTI SKID PREMIUM CERAMIC TILES / ANTI SKID TILES,GRANITE COUNTER TOP WITH BACK SPLASH IN GRANITE SS DOUBLE SINK AND IMPORTED CP FITTINGS.,GLAZED SLIDING SHUTTERS WITH UPVC / FRAMES WITH CLEAR / FROSTED GLASS,MODULAR SWITCHES.,PASSENGER AND SERVICE LIFTS,ISI APPROVED MAKES,AS SPECIFIED EARLIER,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NTA0,oc\353 OF 2017-OC_uploaded.pdf
352 OF 2017 DATED 17.11.2017,"ESFERA, PHASE-II",IMPERIA STRUCTURES LTD.,"SECTOR-37-C, VILLAGE GHAROLI
KHURD AND BASAI, GURUGRAM, HARYANA",GURUGRAM,66524000,22175000,Yes,57654000,33262000,8870000,66524000,11087000,35479000,13305000,11087000,0,0,0,437,355,8.50 (Acre),31-12-2020,72,VITRIFIED TILES/WOODEN LAMINATED/CERAMIC TILES,VITRIFIED TILE ON FLOORING/CERAMIC TILES DADO & OBD PAINT,AL. EXTERNAL WOODEN DOOR FRAMES FOR INTERNAL DOORS,ISI MARKED,ISI MARKED,ISI MARKED,WALLS: OBD PAINT/CERAMIC TILES FLOORING: VITRIFIED TILES/CERMAIC TILES/WOODEN LAMINATE,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MzA2,oc\352 OF 2017-OC_uploaded.pdf
351 OF 2017 DATED 20.11.2017,ENIGMA,ATHENA INFRASTRUCTURE LTD.,"SECTOR-110, VILLAGE PAWALA KH
USRUPUR, GURUGRAM, HARYANA",GURUGRAM,185.88,106.19,No,444.13,135.69,11.39,147.49,1.76,0,0,5.69,0,0,0,82,75,80354.381 (Sqr/mtrs),31-08-2018,100,IMPORTED MARBLE / WOODEN FLOORING / ANTI SKID VITRIFIED TILES / ANTI SKID PREMIUM CERAMIC TILES / ANTI SKID TILES,GRANITE COUNTER TOP WITH BACK SPLASH IN GRANITE SS DOUBLE SINK AND IMPORTED CP FITTINGS.,GLAZED SLIDING SHUTTERS WITH UPVC / FRAMES WITH CLEAR / FROSTED GLASS,MODULAR SWITCHES.,PASSENGER AND SERVICE LIFTS,ISI APPROVED MAKES,AS SPECIFIED EARLIER,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NTAz,oc\351 OF 2017-OC_uploaded.pdf
350 OF 2017 DATED 17.11.2017,URBAN 67-A,PYRAMID INFRATECH PVT. LTD.,"SECTOR-67-A, GURUGRAM, HARYAN
A",GURUGRAM,97.27,192.57,Yes,0,0,13.58,0,10.27,0,0,0,0,0,0,0,1379,9.83125 (Acre),12-02-2022,12.30,I PS FLOORING,STONE COUNTER WITH TILE,EXTERNAL D/W M S- Z SECTION,AS PER STANDARD,AS PER STANDARD,AS PER STANDARD,TEXTURE PAINT,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTA0Mw==,oc\350 OF 2017 DATED 17.11.2017-OC_uploaded.pdf
346 OF 2017 DATED 08.11.2017,"ENIGMA, PHASE-1",VARALI PROPERTIES LTD.,"SECTOR-110, VILLAGE PAWALA KH
USRUPUR, GURUGRAM, HARYANA",GURUGRAM,168.45,254.53,Yes,0,124.54,21.96,0,25.70,0,0,0,0,0,0.455,254,193,8.7 (Acre),31-12-2020,90,"ITALIAN/ EUROPEAN MARBLE, TILES / MARBLE",WALLS COMBINATION OF LACQUERED GLASS AND IMPORTED TILES FLOOR IMPORTED TILES DOORS AND WINDOWS TIMBER VENEERED AND ALUMINIUM OTHERS HIGH END EUROPEAN MODULAR KITCHEN,TIMBER VENEERED AND ALUMINIUM,"SWITCHES, WIRE, PANELS, GENSET",OTIS 4 PASSEGNER + 1 SERVICE LIFT IN EACH TOWER,SWITCHES,ACRYLIC WALL PAINT,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/ODM=,oc\346 OF 2017-OC_uploaded.pdf
336 OF 2017 DATED 27.10.2017,ESENCIA,ANSAL PHALAK INFRASTRUCTURE PVT. LTD.,"SECTOR-67, GURUGRAM, HARYANA",GURUGRAM,152.6,218,No,300,168.8,22.9,70.5,25,48,0,16,0,0,3833.991,816,804,5.95625 (Acre),22-01-2021,2,"IMPORTED STONE FLOORING IN LIVING & DINNING, WOODEN FLOORING IN BEDROOMS AND TILE IN TOILET, KITCHEN, UTILITY AREA AND BALCONY.",STONE COUNTER TOP WITH 2FEET HIGH CERAMIC TILES ABOVE THE COUNTER AND CERAMIC TILE ON FLOOR 396 X 396 MM.,DOOR FRAMES - WOODEN WINDOW FRAMES - UPVC.,NA,"TOTAL 17 NOS LIFTS , 07 ARE STRETCHER LIFTS AND 10 ARE PASSENGER LIFTS.",ISI MARKED,"PLASTIC EMULSION, OBD, ENAMEL & WHITE WASH.",https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTA2Ng==,oc\336 OF 2017-OC_uploaded.pdf
20 OF 2017 DATED 06.07.2017,"GROUP HOUSING PROJECT ( TOWER A,B,C, D AND E)",RAHEJA DEVELOPERS LTD.,"RAHEJA MAHESHWARA SECTOR-11 A
ND 14, SOHNA, GURUGRAM",GURUGRAM,250,342.71,No,347,84,12.52,33,0,127.26,0,0,0,0,0,276,112,3.752 (Acre),04-04-2023,0,NA,NA,NA,"COPPER ELECTRICAL WIRING THROUGHOUT IN CONCEALED CONDUIT WITH PROVISION FOR LIGHT POINTS, POWER POINTS, TV AND TELEPHONE SOCKETS WITH PROTECTIVE MCB'S",NA,"COPPER ELECTRICAL WIRING THROUGHOUT IN CONCEALED CONDUIT WITH PROVISION FOR LIGHT POINTS, POWER POINTS, TV AND TELEPHONE SOCKETS WITH PROTECTIVE MCB'S",NA,Not Found,Not Available
319 OF 2017 DATED 23.10.2017,EWS,AMBIENCE DEVELOPERS & INFRASTRUCTURE PVT. LTD.,"AMBIENCE ISLAND, VILLAGE NATH
UPUR, GURUGRAM",GURUGRAM,20,60,Yes,30,0,5,200,0,0,0,0,0,0,0,540,0,2222 (Sqr/mtrs),31-03-2022,80,FLOORING DONE WITH VITRIFIED TILES,GRANITE KITCHEN SLAB,FLUSH DOORS WITH LAMINATE,MODULAR RANGE OF SWITCH/SOCKET/MCB,HIGH SPEED ELEVATORS,MODULAR RANGE SWITCH/SOCKETS/MCB,INTERNAL WALLS IN PAINT,Not Found,Not Available
137 OF 2017 DATED 28.08.2017,GREEN COURT,ASTER INFRAHOME PVT. LTD.,"SECTOR-90, VILLAGE- HAYATPUR,
GURUGRAM",GURUGRAM,192.12,279.54,Yes,0,258.27,38.41,0,7.80,20,1500,0,20,0,401.18,1658,1613,10.0125 (Acre),15-05-2020,15,CERAMIC TILES/ VITRIFIED TILES,NON MODULAR,HARDWOOD DOOR FRAMES WITH FLUSH PANEL/FLUSH DOOR/SKIN DOOR,ISI MARKED,2 IN EACH TOWER,ISI MARKED,DISTEMPER,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/ODU=,oc\307 OF 2017-OC_uploaded.pdf
