Name,Rera ID,NoBroker RERA ID,Builder Project RERA ID,Address,Price Starting From,Unit Configuration,Parking,Property Type,Water Supply,Builder,Date of establishment,Date of completion,Units,Min Flat Size,Max Flat Size,Project Area,Min. Price,Possesion Date,Security,Amenities,Top Benefits
Mahindra Happinest Tathawade,Not Found,A51800026821,P52100052559,"Next to MTU India Pvt. Ltd, Jeevan Nagar, Tathawade, Pune",₹61.5 Lacs - ₹69.54 Lacs,"1,2,3.5 BHK",Bike and Car,Apartment,Corporation and Borewell,Mahindra Lifespaces Developers Ltd,January 1994,Not Found,686,470 sqft,1354 sqft,7.00 acres,₹70 Lacs,December 2027,Gated Security,"Maintenance staff, Tennis court, Lift, Community hall, Skating rink, Common garden","Nearby Rajiv Gandhi Infotech Park, Surrounded by Lush Greenery, Close Proximity to Akurdi train station"
Bptp Astaire Gardens,GGM/521/253/2021/89 DA,Not Found,Not Found,"Off SPR Road, Sector 70A, Gurugram, Haryana",Not Found,"3,4 BHK",Bike and Car,Apartment,Borewell,BPTP Limited,Not Found,August 2026,892,1390 sqft,3150 sqft,97.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Sapthagiri Sandalwoods,PRM/KA/RERA/1251/446/PR/090523/005918,Not Found,Not Found,"Near Domino's Pizza, Belathur, Krishnarajapura, Bangalore.",₹91.66 Lacs - ₹1.36 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Sapthagiri Shelters,Not Found,Not Found,252,831 sqft,1232 sqft,3.00 acres,₹96.24 Lacs,April 2024,Gated Security,"Community hall, Party area, Rain water harvesting, Park, Tennis court, Badminton court","Prime Location, Luxuries 2 & 3 BHK Flats, 21+ Amenities, Project Enveloped In Rush Green"
House Of Hiranandani Westgate,Not Found,A51800026821,P51700077268,"Near Kevalya Hospital, Wagbilnaka, Thane, Mumbai.",₹1.06 Crores - ₹5.1 Crores,"2,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,House Of Hiranandani,January 1978,Not Found,1488,483 sqft,1761 sqft,26.00 acres,₹1.21 Cr,October 2031,Gated Security,"Power backup, Visitor parking, Rain water harvesting, Fire safety, Jogging track, Tennis court","Luxuries 2,3, and 4 BHK Apartments, Panoramic Views, Podium Amenities for all Age Groups"
Goldenkey Meraki,P01100007271,Not Found,Not Found,"Ameenpur, Miyapur, Hyderabad, Telangana 502325",Not Found,"2,2.5,3 BHK",Bike and Car,Apartment,Borewell,GOLDENKEY VENTURES PRIVATE LIMITED,Not Found,December 2025,280,Not Found,Not Found,2.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Security, Intercom, Children's play area",Not Found
Kolte Patil Life Republic Atmos,Not Found,A51800026821,P52100056082,"Near Life Republic East Gate, Life Republic Township, Punawale, Pune",₹71.3 Lacs - ₹95.37 Lacs,"2,2.5,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Kolte Patil Developers,January 1991,Not Found,620,775 sqft,1037 sqft,4.40 acres,₹77 Lacs,December 2028,Gated Security,"Vastu compliant, Atm, Servant room, Party area, Power backup, Community hall","Connectivity To Bangalore Mumbai Highway, Clubhouse With 15+Amenities, Surrounded by Lush and Greenery"
Godrej Woodscapes,"PRM/KA/RERA/1251/446/PR/170524/006882, PRM/KA/RERA/1251/446/PR/170524/006888",Not Found,Not Found,"Near Budigere Decathlon, Konadasapura, Budigere, Bangalore.",₹2.1 Crores - ₹4.29 Crores,"2,2.5,3,3.5,4,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Godrej Properties,January 1990,Not Found,1074,752 sqft,2289 sqft,28.00 acres,₹2.21 Cr,January 2029,Gated Security,"Community hall, Spa, Cctv camera, Rain water harvesting, Maintenance staff, Club house","40 Top Notch Amenities, Grand 65,000 sqft Clubhouse, 15 Mins From Phoenix Market City"
Sarvatra CHS,Not Found,Not Found,Not Found,"Paud Road, Gururaj Society, Kothrud, Pune, Maharashtra, India 411038",Not Found,"2,3,4 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,December 2028,147,646 sqft,1399 sqft,Not Found,Not Found,Not Found,Gated Security,"Lift, Security, Children's play area, Park, Fire safety, Cctv camera",Not Found
Kalpataru Advay,Not Found,A51800026821,P51800077381,"Near Don Bosco High School, Ashok Nagar, Borivali West, Mumbai.",₹2.19 Crores - ₹2.58 Crores,"2,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Kalpataru Limited,January 1970,Not Found,650,580 sqft,1835 sqft,6.12 acres,₹2.5 Cr,June 2030,Gated Security,"Badminton court, Fire safety, Common garden, Tennis court, Library, Sewage treatment plant","Well developed Residential Locality, 6.12 Large Land Parcel&46% Open Space, 50+ Premium Lifestyle Amenities, Project Enveloped In Lush Green"
Adarsh Welkin Park Phase 1,PRM/KA/RERA/1251/308/PR/020923/006223,Not Found,Not Found,"Near Garuda Petroleum HP Retail Outlet, Gattahalli Village, Off Sarjapura Road, Bangalore.",₹1.61 Crores - ₹3.1 Crores,"2.5,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Adarsh Group,January 1998,Not Found,1300,1136 sqft,1832 sqft,30.00 acres,₹1.69 Cr,December 2027,Gated Security,"Security, Cctv camera, Power backup, Jogging track, Sewage treatment plant, Vastu compliant","30 Acres Well Developed Land Parcel, Immaculately designed Homes, 30+ Lifestyle Amenities"
Ramky Nextown,P01100007370,Not Found,Not Found,"Patancheruvu, Hyderabad, Telangana 502307",Not Found,2 BHK,Bike and Car,Apartment,Borewell,Ramky Frontier Homes Private Limited,Not Found,February 2029,521,Not Found,Not Found,7.00 acres,Not Found,Not Found,Gated Security,"Gym, Security, Intercom, Park, Fire safety, Rain water harvesting",Not Found
Basil Maximus,Not Found,A51800026821,P52100051323,"Near Playful Penguins Daycare, Kate Wasti, Punawale, Pune",₹79.97 Lacs - ₹1.16 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Basil Group,Not Found,Not Found,235,714 sqft,1174 sqft,6.50 acres,₹89.87 Lacs,December 2027,Gated Security,"Vastu compliant, Party area, Power backup, Community hall, Swimming pool, Badminton court","Premium Apartment With Luxury Amenity, Near PDEA's Ayurveda Rugnalaya hpl, Near Indira Clge of Commerce & Science"
Sagar Avenue Phase 2,Not Found,A51800026821,P51800012801 | P51800012870,"Santacruz East, Santacruz, Mumbai, Maharashtra 400055",Not Found,"1,2,3 BHK",Bike and Car,Apartment,Borewell,Sagar Shopping Developers,Not Found,June 2023,144,407 sqft,1215 sqft,4.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Prestige Park Grove,PRM/KA/RERA/1251/446/PR/100823/006141,Not Found,Not Found,"Near EuroKids Preschool, Chikka Banahalli Road, Seegahalli,Bangalore",₹3.56 Crores - ₹8.5 Crores,"1,2,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Prestige Group,January 1986,Not Found,3715,Not Found,3002 sqft,71.00 acres,₹3.9 Cr,December 2027,Gated Security,"Spa/steam/sauna, Vastu compliant, Park, House keeping, Rain water harvesting, Cctv camera",Not Found
SCC Blossom,UPRERAPRJ735034,Not Found,Not Found,"Raj Nagar Extension, Ghaziabad, Uttar Pradesh 201017",Not Found,"2,3,4 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,December 2025,456,Not Found,Not Found,Not Found,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Superior Exotica,Not Found,A51800026821,P51700053448,"Opp Apple hospital, Sector 7, Airoli, Mumbai.",₹1.81 Crores - ₹2.5 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Superior Navkar Group,Not Found,Not Found,80,730 sqft,921 sqft,0.50 acres,₹2.06 Cr,December 2027,Gated Security,"Children's play area, Rain water harvesting, Security, Club house, Intercom, Indoor games","15+ Rooftop Recreations, Grand Spacious Homes, Adorable Apartments in Airoli"
Lodha Giardino,Not Found,A51800026821,P52100047587,"Near Podar International School - Wagholi,Upper kharadi main road,Kharadi",,"2,3,3.5,4,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Lodha Group,January 1980,Not Found,1200,807 sqft,2196 sqft,12.00 acres,₹2.34 Cr,October 2026,Gated Security,"Fire safety, Vastu compliant, Park, Rain water harvesting, Cctv camera, Swimming pool",Not Found
Provident Capella 2,Not Found,Not Found,Not Found,"Soukya Rd, Bengaluru, Karnataka 562114",Not Found,"1,2,2.5 BHK",Bike and Car,Apartment,Borewell,Provident Housing Limited,Not Found,September 2024,763,Not Found,Not Found,6.00 acres,₹44.99 Lacs,Not Found,Gated Security,"Swimming pool, Gym, Club house, Security, Shopping center, Park",Not Found
Aakriti Miro,P02400002324,Not Found,Not Found,"Near Ramky One Galaxia ,Nallagandla Rd, Nalagandla,Hyderabad",,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Aakriti Housing Ltd,January 2007,Not Found,404,833 sqft,1513 sqft,3.50 acres,₹1.04 Cr,October 2026,Gated Security,"Jogging track, Party area, Fire safety, Intercom, Vastu compliant, Park",Not Found
Elysian By Oberoi Realty,Not Found,Not Found,Not Found,"Oberoi Garden City Phase 3, Western Express Hwy, near Oberoi Woods Tower B, Goregaon, Mumbai, Maharashtra 400063",Not Found,"3,4 BHK",Bike and Car,Apartment,Borewell,Oberoi Realty,Not Found,June 2027,365,1709 sqft,3047 sqft,Not Found,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Neelam Senroofs,Not Found,A51800026821,P51800055478,"Near JBCN International School Mulund, Nahur East, Mulund East, Mumbai.",₹1.72 Crores - ₹2.58 Crores,"2,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Neelam Realtors,Not Found,Not Found,200,840 sqft,1250 sqft,12.00 acres,₹2 Cr,December 2030,Gated Security,"Badminton court, Fire safety, Common garden, Tennis court, House keeping, Sewage treatment plant","Premium & Spacious 2&3 BHK Apartments, Mulund Railway Station Within 12 min, 35+ Lifestyle Amenities"
Lodha Mirabelle,PRM/KA/RERA/1251/309/PR/131023/006321,Not Found,Not Found,"Inside Manyata Tech Park , Bharath Nagar Nagavara, Thanisandra ,Bangalore",₹2.84 Crores - ₹3.32 Crores,"2.5,3,3.5,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Lodha Group,January 1980,Not Found,800,910 sqft,1917 sqft,19.27 acres,₹2.98 Cr,June 2028,Gated Security,"Lift, Visitor parking, Park, Power backup, Security, Swimming pool",Not Found
Modi Edifice,P51700022542,Not Found,Not Found,"Bachupally, Bowrampet, Hyderabad, Telangana, India 500043",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,September 2023,2261,Not Found,Not Found,14.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Godrej 101,61 OF 2017 DATED 17.8.2017,Not Found,Not Found,"Near To Godrej Aria,Sector 79, New Gurgaon,Gurugram",,"2.5,3.5 BHK",Bike and Car,Apartment,Not Found,Godrej Properties,January 1990,Not Found,350,904 sqft,1656 sqft,10.50 acres,₹2.01 Cr,February 2021,Gated Security,"Security, Common garden, Party area, Aerobics room, Power backup, Amphitheater",Not Found
Ds Max Shreshta,PRM/KA/RERA/1251/309/PR/220223/005748,Not Found,Not Found,"SITE/KHATHA NO:SL NO:6 SY NO 93, BELLAHALLI , YELAHANKA ZONE , BENGALURU , Bengaluru North , Bengaluru Urban, Karnataka - 562149",Not Found,Not Found,Bike,Apartment,Corporation and Borewell,DS Max Properties Private Limited,Not Found,July 2026,281,Not Found,Not Found,Not Found,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Fire safety",Not Found
Prestige Serenity Shores,PRM/KA/RERA/1251/446/PR/220823/006192,Not Found,Not Found,"Oppsite Croma - Gunjur, Marathahalli - Sarjapur Rd, Whitefield, Gunjur Village, Varthur, Bengaluru",,"1,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Prestige Group,January 1986,Not Found,667,449 sqft,1709 sqft,12.00 acres,₹2.86 Cr,August 2027,Gated Security,"Rain water harvesting, Community hall, Party area, Badminton court, Lift, Gym",Not Found
Brigade Calista Phase 2,PRM/KA/RERA/1251/446/PR/220823/006195,Not Found,Not Found,"Opp. GrandPlus Hypermarket, Bommenahalli Village, Budigere Cross, Bangalore.",₹1.69 Crores onwards,"2,3,3.5 BHK",Bike and Car,Apartment,Corporation and Borewell,Brigade Group,January 1986,Not Found,481,727 sqft,1245 sqft,11.20 acres,₹1.77 Cr,December 2027,Gated Security,"Party area, Rain water harvesting, Community hall, Park, Atm, Servant room",Not Found
Praneeth KKRs Pranav Jaitra,P02200003569,Not Found,Not Found,"Near To Shalom Bakers & Restaurant, Srila Park Pride Road, Hydernagar, Hyderabad",₹1.41 Crores - ₹2.72 Crores,"2,3,3.5 BHK",Bike and Car,Apartment,Borewell,Praneeth Group,January 2007,Not Found,576,680 sqft,2166 sqft,4.79 acres,₹1.69 Cr,September 2027,Gated Security,"Rain water harvesting, Party area, Park, Atm, Spa/steam/sauna, Gym","Proximity To Miyapur, No High-Rise Projects Around Jaitra, Luxury Clubhouse With Top Amenities, Nature Themed Apartments"
Lodha Bellevue Mahalaxmi,Not Found,A51800026821,P51900046567,"Near Empower Fitness,Bapurao Jagtap Marg ,Mahalakshmi , Mumbai",₹4.05 Crores - ₹15.66 Crores,"3,3.5,4,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Lodha Group,January 1980,Not Found,200,890 sqft,2739 sqft,7.00 acres,₹4.53 Cr,September 2028,Gated Security,"Gym, Wifi, Maintenance staff, Vastu compliant, Lift, Sewage treatment plant","Project With 80% Open Space, Proximity To Mahalaxmi Train Station, Advanced 5-Tired Security, Project By Renowned Builder Lodha"
Vaswani Starlight,PRM/KA/RERA/1251/446/PR/180424/006808,Not Found,Not Found,"Near The Deens Academy, Pattandur Agrahara, Whitefield, Bangalore.",₹2.65 Crores - ₹3.64 Crores,"3,3.5,4+ BHK",Bike and Car,Apartment,Corporation and Borewell,Vaswani Group,Not Found,Not Found,269,1303 sqft,1743 sqft,4.22 acres,₹2.78 Cr,December 2029,Gated Security,"Security, Cctv camera, Power backup, Squash court, Sewage treatment plant, Aerobics room","70% Open Space, Grand Clubhouse in 20,000 sqft, Premium and Eco Friendly Apartments, Project Enveloped In Lush Green"
Brigade Xanadu,P51700004620,Not Found,Not Found,"Union Rd, Mogappair, Chennai, Tamil Nadu",Not Found,"2,3,4 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,December 2025,350,797 sqft,1776 sqft,36.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Visions Arsha,P01100005595,Not Found,Not Found,"Near LASSI n SHAKES, Osman Nagar Road, Tellapur, Hyderabad",₹1.16 Crores - ₹2.22 Crores,"2,3,3.5 BHK",Bike and Car,Apartment,Corporation and Borewell,Vision Infra Developers India Pvt Ltd,January 2005,Not Found,1561,875 sqft,1701 sqft,11.00 acres,₹1.39 Cr,October 2027,Gated Security,"Gym, Spa/steam/sauna, Gas pipeline, Indoor games, Skating rink, Wifi","Proximity to Tellapur Train Station, Modern Lifestyle Amenities, Easy Access to Daily Essentials, 3.5 Acres Of Central Park"
Casagrand Selenia,TN/35/Building/0345/2024,Not Found,Not Found,"Behind St.Francis International School, Kelambakam, OMR, Chennai.",₹1.27 Crores - ₹1.72 Crores,3 BHK,Bike and Car,Apartment,Corporation and Borewell,Casagrand Builder Private Limited,January 2003,Not Found,221,1526 sqft,1800 sqft,17.06 acres,₹1.42 Cr,March 2027,Gated Security,"Party area, Rain water harvesting, Community hall, Park, Snooker/pool, Salon","90+ Amenities for All Age Groups, 11,000 sqft. Grand Clubhouse, Located just 5 Min from Kelambakkam, Spacious 3 BHK villas across 17.06 acres"
Mahidhara Fortune City,PRM/KA/RERA/1251/308/PR/111124/007221,Not Found,Not Found,"Outer Ring Rd, Mahadevapura, Bengaluru, Karnataka 560048, India",₹23.98 Lacs onwards,1 BHK,Bike and Car,Apartment,Corporation and Borewell,MAHIDHARA LUXURIA LLP,Not Found,Not Found,Not Found,712 sqft,712 sqft,40.00 acres,₹28.78 Lacs,March 2018,Gated Security,"Atm, Visitor parking, Sewage treatment plant, Lift, Gym, Cctv camera",Not Found
Adani Samsara Avasa,GGM/648/380/2022/123 DATED 20.12.2022,Not Found,Not Found,"Near Paras Trinity, Maidawas Rd, Sector 63, Gurgaon",₹4.35 Crores - ₹6.73 Crores,4 BHK,Bike and Car,Apartment,Not Found,Adani Realty,January 1988,Not Found,68,1664 sqft,2620 sqft,1.20 acres,₹4.35 Cr,December 2026,Gated Security,"Air conditioner, Power backup, Visitor parking, Basketball court, Gym, Aerobics room","Close To Sector 54 Chowk Metro station, Nearby St. Xavier's High School, 1,00,000+ Sqft Belvedere Club"
JRC Sanzio,PRM/KA/RERA/1251/308/PR/200923/006277,Not Found,Not Found,"Near St. Philomenas PU and Degree College, Tyayakana Halli Village, Attibele Sarjapura Road, Bangalore.",₹1.85 Crores - ₹2.08 Crores,3 BHK,Bike and Car,Apartment,Corporation and Borewell,JRC Projects,Not Found,Not Found,39,1669 sqft,1795 sqft,2.50 acres,₹1.94 Cr,December 2027,Gated Security,"Cricket pitch, Rain water harvesting, Park, Spa/steam/sauna, Indoor games, Gym","Project Enveloped In Lush Green, Spacious Villas with Affordable Prices, Near St. Philomenas PU & Degree College"
Mana Dale,PRM/KA/RERA/1251/446/PR/091123/006409,Not Found,Not Found,"Next to Assetz 63 East,Chikkanayakanhalli, off sarjapura main road,kodathi village , Bangalore.",₹1.43 Crores - ₹2.1 Crores,"3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Mana Projects Pvt Ltd,Not Found,Not Found,694,933 sqft,1357 sqft,8.00 acres,₹1.5 Cr,December 2032,Gated Security,"Visitor parking, Basketball court, Skating rink, Aerobics room, Fire safety, Rain water harvesting","Vicinity to HSR Layout, Proximity to Wipro & RGA Tech park, Near To Carmelaram railway station, Tallest project in Sarjapur Rd."
Western Springs,P024000005326,Not Found,Not Found,"Near Keystone International School, Nanakaramguda, Financial District, Hyderabad",₹2.21 Crores - ₹3.48 Crores,"3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Western Constructions,January 1993,Not Found,1491,1377 sqft,8208 sqft,21.00 acres,₹2.65 Cr,December 2027,Gated Security,"Security, Cctv camera, Power backup, Maintenance staff, Gym, Fire safety","Proximity to Nehru ORR, Centrally Located In The IT Hub, Commercial Spaces Available"
LOTUS GRAND,P02400003546,Not Found,Not Found,"Narsingi, Kokapet, Hyderabad, Telangana 500075",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,LOTUS PROJECTS,Not Found,December 2023,161,Not Found,Not Found,1.00 acres,Not Found,Not Found,Gated Security,"Security, Children's play area, Fire safety, Rain water harvesting, Community hall, Power backup",Not Found
Shapoorji Pallonji Parkwest 2,PRM/KA/RERA/1251/310/PR/210216/003899 | PRM/KA/RERA/1251/310/PR/210216/003900 | PRM/KA/RERA/1251/310/PR/180122/004645,Not Found,Not Found,"Near Metro Cash & Carry Binnypet,Binny Pete - Hosakere Road,Jagajeevanram Nagar,Bangalore",,"2,2.5,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Shapoorji Pallonji Group,January 1970,Not Found,2900,945 sqft,1245 sqft,47.00 acres,₹2.34 Cr,December 2024,Gated Security,"Rain water harvesting, Security, Cctv camera, Swimming pool, Maintenance staff, Gym",Not Found
Gothic Pentagon Clouds,P02200002902,Not Found,Not Found,"Gothic Pentagon Clouds, Hyderabad, India",,"2,3 BHK",Bike and Car,Apartment,Borewell,Square Feet Online Reality Services Pvt Ltd,January 2021,Not Found,444,913 sqft,1624 sqft,4.17 acres,₹73 Lacs,March 2027,Gated Security,"Security, Cctv camera, Power backup, Maintenance staff, Jogging track, Sewage treatment plant",Not Found
Platinum East Woods,PRM/KA/RERA/1251/446/PR/100423/005855,Not Found,Not Found,"Near Atal Bihari Botanical Garden, Ardendale, Kannamangala, Bangalore.",₹96.11 Lacs - ₹2.3 Crores,"2,3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Platinum Narya Infra,Not Found,Not Found,178,662 sqft,1624 sqft,2.10 acres,₹1.01 Cr,March 2027,Gated Security,"Rain water harvesting, Security, Party area, Swimming pool, Park, Cctv camera","Spacious vastu compliant Living Spaces, Rooftop Amenities, Near Schools and Malls"
Navraj The Antalyas,RC/REP/HARERA/GGM/735/467/2023/79,Not Found,Not Found,"Near Signature Hospital, Ramprastha Primera Road, Sector 37, Gurgaon",,"3.5,4+ BHK",Bike and Car,Apartment,Not Found,Navraj Infratech Private Limited,Not Found,Not Found,200,1771 sqft,2061 sqft,5.50 acres,₹2.08 Cr,April 2027,Gated Security,"Security, Swimming pool, Park, Cctv camera, Power backup, Maintenance staff",Not Found
Aparna Sarovar Zicon,Not Found,Not Found,Not Found,"Nallagandla, Serilingampally, Hyderabad, Telangana 500019",Not Found,"2,3,4 BHK",Bike and Car,Apartment,Borewell,Aparna Constructions,Not Found,September 2024,3024,844 sqft,1867 sqft,25.00 acres,₹73.84 Lacs,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Sumadhura Capitol Residences,PRM/KA/RERA/1251/446/PR/051024/007125,Not Found,Not Found,"Near Adyar Ananda Bhavan - A2B, Hope Farm Junction, Whitefield, Bangalore.",₹2.26 Crores - ₹2.91 Crores,"3,4 BHK",Bike and Car,Apartment,Corporation and Borewell,Sumadhura Infracon Pvt Ltd,January 2012,Not Found,362,1029 sqft,1699 sqft,4.00 acres,₹2.37 Cr,December 2027,Gated Security,"Cctv camera, Rain water harvesting, Club house, Lift, Indoor games, Skating rink",Not Found
RG Luxury Homes,Not Found,Not Found,Not Found,"Plot No. GH-07 A , Sector 16 B , Greater Noida West , Greater Noida, Noida",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,March 2026,1928,Not Found,Not Found,18.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
M3M Antalya Hills,GGM/650/382/2022/125 DATED 23.12.2022,Not Found,Not Found,"Near To Naurangpur stadium, Naurangpur Road, sector 79, Gurugram",₹2.09 Crores onwards,"2.5,3.5 BHK",Bike and Car,Apartment,Not Found,M3M India,January 2010,Not Found,2500,811 sqft,1162 sqft,50.00 acres,₹2.09 Cr,June 2026,Gated Security,"Air conditioner, Power backup, Visitor parking, Basketball court, Fire safety, Rain water harvesting",Not Found
Bhoo Aabharana,PRM/KA/RERA/1251/446/PR/140923/006261,Not Found,Not Found,"Elu's Rd, Kyalasanahalli, Kothanur, Bengaluru, Karnataka 560077",₹79.29 Lacs onwards,2 BHK,Bike and Car,Apartment,Corporation and Borewell,Bhoo Developers,Not Found,Not Found,116,895 sqft,895 sqft,1.34 acres,₹79.29 Lacs,December 2024,Gated Security,"Rain water harvesting, Cctv camera, Power backup, Children's play area, Lift, Security",Not Found
Svp Gulmohur Garden Phase Ii,UPRERAPRJ6654,Not Found,Not Found,"near Shiv Mandir, Raj Nagar Extension, Ghaziabad, Uttar Pradesh 201017",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,December 2016,430,Not Found,649 sqft,6.00 acres,₹4.56 Lacs,Not Found,Gated Security,"Gym, Lift, Club house, Security, Intercom, Children's play area",Not Found
Panchsheel Wellington,UPRERAPRJ8805,Not Found,Not Found,"Crossings Republik, Ghaziabad, Uttar Pradesh 201016",Not Found,"1,2.5,3,4 BHK",Bike and Car,Apartment,Borewell,PANCHSHEEL BUILDTECH PVT. LTD.,Not Found,November 2024,1272,Not Found,Not Found,9.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
ATS Kingston Heath,UPRERAPRJ180413,Not Found,Not Found,"Sector 150, Noida-Greater Noida Expressway, Noida, Gautam Buddh Nagar District",Not Found,Not Found,Not Found,Apartment,Corporation and Borewell,CELERITY INFRASTRUCTURE PRIVATE LIMITED,Not Found,August 2026,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,,Not Found
ASBL Loft,P02400006761,Not Found,Not Found,"Near Keystone International School road, Nanakramguda, Financial District, Hyderabad",₹1.82 Crores - ₹2 Crores,3 BHK,Bike and Car,Apartment,Corporation and Borewell,ASBL,January 2019,Not Found,894,1067 sqft,1178 sqft,4.92 acres,₹2.18 Cr,June 2029,Gated Security,"Badminton court, Fire safety, Common garden, Tennis court, Air conditioner, Library","Luxury of Space & Lavish Master Bedrooms, 16 min to Raidurg metro, World class facilities and amenities"
Green Edge Signature,PRM/KA/RERA/1251/446/PR/220424/006831,Not Found,Not Found,"Sorahunase Main Rd, Varthur, Bengaluru, Karnataka 560087",Not Found,"2,3,4 BHK",Bike and Car,Apartment,Borewell,Green Edge Ventures,Not Found,December 2026,432,Not Found,1548 sqft,3.00 acres,Not Found,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Children's play area",Not Found
Myhna Orchids,PRM/KA/RERA/1251/446/PR/150524/006874,Not Found,Not Found,"Near CNV ENTERPRISES - HP Petrol Bunk, Gunjur Village, Gunjur, Bangalore.",₹1.1 Crores - ₹1.14 Crores,"2,2.5,3 BHK",Bike and Car,Apartment,Corporation and Borewell,Myhna Properties,January 2011,Not Found,405,731 sqft,1084 sqft,5.00 acres,₹1.16 Cr,December 2027,Gated Security,"Basketball court, Visitor parking, Skating rink, Aerobics room, Rain water harvesting, Fire safety",Not Found
Honer Signatis,Not Found,Not Found,Not Found,"Kukatpally, Hyderabad",Not Found,"3,4 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,December 2027,3266,Not Found,Not Found,27.00 acres,₹1.27 Cr,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
Ruparel Urbana,Not Found,A51800026821,P51800077585,"Near Vivekanand Education Society's Swami Vivekanand Vidyalaya & Kanishtha School, Nehru Nagar, Kurla East, Mumbai.",₹80 Lacs - ₹1.26 Crores,"1,2 BHK",Bike and Car,Apartment,Corporation and Borewell,Ruparel Realty,Not Found,Not Found,400,390 sqft,595 sqft,3.00 acres,₹95 Lacs,December 2028,Gated Security,"Security, Rain water harvesting, Swimming pool, Cctv camera, Party area, Power backup","Spacious & Luxurious 1 & 2 BHK Homes, 20+ Rooftop Lifestyle Amenities, 4 Min Away To Kurla Train Station"
Sai Garden Square,Not Found,Not Found,Not Found,"Subramanyapura, Bengaluru, Karnataka 560061, India",Not Found,"2,3 BHK",Bike and Car,Apartment,Borewell,Not Found,Not Found,June 2026,230,Not Found,Not Found,2.00 acres,₹27.61 Lacs,Not Found,Gated Security,"Swimming pool, Gym, Lift, Security, Fire safety, Rain water harvesting",Not Found
Nirala Trio,UPRERAPRJ707952,Not Found,Not Found,"Near St. John's School, Sector 2, Greater Noida West, Noida.",₹1.39 Crores - ₹1.76 Crores,"3,3.5 BHK",Bike and Car,Apartment,Not Found,Nirala World,January 1996,Not Found,378,737 sqft,975 sqft,3.50 acres,₹1.39 Cr,December 2028,Gated Security,"Library, Tennis court, Security, Children's play area, Badminton court, Power backup","Luxuries 3 BHK Flats, Home To World-Class Amenities, Good Connectivity To Schools & Hospitals"
Gulshan Dynasty,UPRERAPRJ950870,Not Found,Not Found,"GH-03D, Sec-144, Noida-Greater Noida Expy, Noida, Uttar Pradesh 201301",Not Found,4 BHK,Bike and Car,Apartment,Borewell,Gulshan Homz,Not Found,March 2025,198,Not Found,Not Found,0.54 acres,₹5.42 Cr,Not Found,Gated Security,"Swimming pool, Gym, Lift, Club house, Security, Intercom",Not Found
